,Joke,category,Rating
96,"there were three people walking on the street.a smart blonde, a stupid blonde and santa clause.suddenly, they see on the ground 100$.question : wich of them pick it up ? Answer:the stupid blonde !Why?because the smart blonde and santa clause don't exist, they are fiction.",Blonde Jokes,0.466
115,Why did the blonde jumped off the bridge? Because she thought her maxi had wings!,Blonde Jokes,0.8
87,What do u call a blonde with 1brain cell? GIFTED!What do u call a blonde with 2brain cells? PREGNANT!What do u call a blonde with 3brain cells? A GOLDEN RETRIEVER!,Blonde Jokes,0.9
2264,"A woman walked up to the manager of a department store. ""Are you hiring any help?"" she asked. ""No,"" he said. ""We already have all the staff we need."" ""Then would you mind getting someone to assist me?"" she asked.",Business,0.4
3468,HOW TO TELL YOU NEED A NEW SECRETARY,Business,0.4
3512,Resumes can have midleading information. This guide should help clear any confusion...,Business,0.6000000000000001
2553,20 THINGS TO DO IN A DRIVE-THRU,Business,1.0
369,"The stockbroker's secretary answered his phone one morning. ""I'm sorry,"" she said, ""Mr. Bradford's on another line."" ""This is Mr. Ingram's office,"" the caller said. ""We'd like to know if he's bullish or bearish right now."" ""He's talking to his wife,"" the secretary replied. ""Right now I'd say he's sheepish.""",Business,0.466
3497,"23% on Tuesday, 40% on Wednesday, 20% on Thursday, 5% on Fridays.",Business,0.4
3508,Vice Presidents and personnel directors of the one hundred largest corporations were asked to describe their most unusual experience interviewing prospective employees.,Business,0.8
3480,"Are you overworked, under paid, over-regulated, under-leisured, and underbenefited? Take heart! Not only could it be worse, it has been. This notice was found in the ruins of a London office building. It was dated 1852:",Business,1.0
3476,"It has come to our attention recently that many of you have been turning in timesheets that specify large amounts of ""Miscellaneous Unproductive Time"" (Code 5309). However, we need to know exactly what you are doing during your unproductive time.",Business,0.6000000000000001
2899,"""Some plants,"" said the teacher, ""have the prefix ""dog. For instance, there is the dogrose, the dogwood, the dogviolet. Now name another plant prefixed by 'dog'."" ""I can,"" shouted a little redhead from the back row, ""Collieflower!""",Children,0.0
479,"A mother and her young son returned from the grocery store and began putting away the groceries. The boy opened the box of animal crackers and spread them all over the table. ""What are you doing,"" his mother asked? ""The box says you can't eat them if the seal is broken,"" the boy explained. ""I'm looking for the seal.""",Children,0.5
460,"A girl was throwing stones at a cow. Her father came & scolded her for throwing the stones at the cow & then told to her that cows are like mothers to them & should be respected. Next day guests come to their to their house & asked for her father. She said ""Father is pressing breast of mother"".",Children,0.2
444,"The little boy walks into his father's bedroom and catches him putting on a condom. He says, ""What are you doing, Pop? The father stutters ""I'm going to kill a mouse, son."" The kid says, ""What are you going to do, bang him to death?""",Children,0.8
425,"A man comes to dinner at a new friend's house. While they eat, the new friend's small son keeps staring at the guest. Finally, the guest says, ""Why are you staring at me like that, young fellow?"" The kid says, ""Daddy told me you were a self-made man."" ""I am."" ""Well, why did you make yourself like that?""",Children,0.734
452,"Little Johnny says ""Mom, when I was on the bus with Daddy this morning, he told me to give up my seat to a lady."" ""Well, you've done the right thing,"" says Mommy ""But Mommy, I was sitting on daddy's lap.""",Children,0.4
3092,"No, Windows is not a virus. Here's what viruses do:",Computers,0.2
3108,"Computers will never be completely ""Idiot Proof"" because Idiots continue to be so resourceful.",Computers,0.6000000000000001
3103,"For immediate issue: Password Security Guidelines V2.2b Due to new security policies, the following guidelines have been issued to assist in choosing new passwords. Please follow them closely. Passwords must conform to at least 21 of the following attributes.",Computers,0.8
3072,"Q: How many internet mail list subscribers does it take to change a light bulb? A: 1,331:",Computers,0.8
3109,A peek into the thoughts of computer techs worldwide ...an end user's guide to technical services.,Computers,0.6000000000000001
3035,I'm sure you've heard the old story referring to optimism and pessimism that is determined by whther you think the glass is half-empty or half-full. Here are the reactions when somebody leaves a half glass of milk next to the keyboard.,Computers,0.8
3041,"The ""I Love You"" virus that infects users of Microsoft's outlook has morphed. Watch for these variations:",Computers,0.466
3027,"HOBBIES, TECHNICAL: HOBBIES, NONTECHNICAL: 1992 PRESIDENTIAL ELECTION: 1996 PRESIDENTIAL ELECTION:Technical Thug: Richard Stallman - Larry Wall.",Computers,0.8
3101,"If you're brain required an operating system like your computer does, what would it be like?",Computers,1.0
3097,This is an actual alert to IBM Field Engineers that went out to all IBM Branch Offices. The person who wrote it was very serious. The rest of us guys find it rather funny.     P/N 33F8462 - Domestic Mouse Balls     P/N 33F8461 - Foreign Mouse Balls,Computers,1.0
3071,"""Honor System Virus"" This virus works on the honor system. Please delete all the files on your hard disk, then forward this message to everyone you know. Thank you for your cooperation.",Computers,0.8
3065,"Face it, you're gonna have to go outside eventually. Sure, Amazon.com will deliver right to your door and now even Taco Bell does deliveries, but, mark my words: some day you're going to HAVE to push away from the computer and go ... OUTSIDE!!! Here's a guide:",Computers,0.8
3106,You know you're a good ol' boy computer operator if...,Computers,0.8
2414,"""This little computer,"" said the sales clerk, ""will do half of your job for you. ""Studying the machine, the senior VP said, ""Fine, I'll take two. """,Computers,0.6000000000000001
1742,"Customer: ""I'm running Windows '95.""Tech Support: ""Yes.""Customer: ""My computer isn't working now.""Tech Support: ""Yes, you said that.""",Computers,1.0
3138,"QUESTION: Where do the characters go when I use my backspace or delete them on my computer? ANSWER: The characters go to different places, depending on whom you ask:",Computers,1.0
2732,How do you know if a blond has used a computer?A:if there's white out on the screen.,Computers,0.2
2614,"When your pet bird sees you reading the newspaper, does he wonder why you're just sitting there, staring at carpeting?",Crazy Jokes,0.6000000000000001
675,"It was Christmas and the judge was in a merry mood as he asked the defendant, ""What are you charged with?"" ""Doing my Christmas shopping early sir"", replied the defendant. ""Well that's not an crime"", said the judge! ""How early were you doing this shopping?"" ""Before the store opened"", answered the prisoner.",Crazy Jokes,0.534
446,"Sad News! It's always difficult to bring sad news but I think everyone should know that there was a great loss in the entertainment world. The man that wrote the ""Hokey Pokey"" died. What's really horrible was they had trouble keeping the body in the casket. They'd put his left foot in......well, you know the rest...",Crazy Jokes,0.30000000000000004
272,"A guy goes to a psychiatrist. ""Doc, I keep having these alternating recurring dreams. First I'm a teepee; then I'm a wigwam; then I'm a teepee; then I'm a wigwam. It's driving me crazy. What's wrong with me?"" The doctor replies: ""It's very simple. You're two tents.""",Crazy Jokes,0.9
824,If corn oil is made from corn and vegetable oil is made from vegetables. What is baby oil made from?,Crazy Jokes,0.5
414,"From a passenger ship, everyone can see a thin bearded man on a small island, shouting and desperately waving his hands. ""Who is it on that island?"" a passenger asks the captain. ""I have no idea... but every year when we pass, he goes nuts like that.""",Crazy Jokes,0.55
2228,"Just before Thanksgiving, a lady was picking through the frozen turkeys at the grocery store, but couldn't find one big enough for her family. She asked a stock boy, ""Do these turkeys get any bigger?"" The stock boy replied, ""No ma'am, they're dead.""",Crazy Jokes,1.0
2696,"If the cops arrest a mime, do they tell him he has the right to remain silent?",Crazy Jokes,1.0
1155,what do you do with a dog with no legs? Take him for a spin!,Crazy Jokes,0.2
126,"A little kid asks his father, ""Daddy, is God a man or a woman?"" ""Both son. God is both."" After a while the kid comes again and asks, ""Daddy, is God black or white?"" ""Both son, both."" The child returns a few minutes later and says, ""Daddy, is Michael Jackson God?""",Deep Thoughts,0.9380000000000002
120,"A good friend will bail you out of jail.A great friend will be in the cell next to you saying,""Damn, that was fun!""",Deep Thoughts,0.82
125,Can a teacher give a homeless man homework?,Deep Thoughts,0.8
124,If 7-11(pharmacy) is open 24/7 then why do they have locks on their doors?,Deep Thoughts,0.52
131,why does sour cream have an expiry date?,Deep Thoughts,0.9
121,"If nobody is perfect, and I'm a nobody, am I perfect?",Deep Thoughts,0.4
2385,son:daddy daddy why are we pushing the car over a cliff? Dad:shhhhhhhhhhhhhhhh!!!You'll wake grandma.,"Family, Parents",0.2
760,"A Jewish boy comes home from school and tells his mother he's been given a part in the school play. ""Wonderful. What part is it?"" The boy says, ""I play the part of the Jewish husband."" The mother scowls and says, ""Go back and tell the teacher you want a speaking part.""","Family, Parents",1.0
2624,Thirteen things dogs don't understand,"Family, Parents",0.8
2142,"It was graduation day and Mom was trying to take a picture of their son in a cap and gown, posed with his father.""Let's try to make this look natural,"" she said. ""Junior, put your arm around your dad's shoulder.""The father answered, ""If you want it to look natural, why not have him put his hand in my pocket?""","Family, Parents",0.4
3155,"Throughout the centuries, mothers have been given their children plenty of good advice and notable quotes. Here's just a small sampling:","Family, Parents",0.4
2668,"""Do you believe in life after death?"" the boss asked one of his employees. ""Yes, sir,"" the clerk replied.""That's good,"" the boss said. ""After you left early yesterday to go to your grandmother's funeral, she stopped in to see you.""","Family, Parents",1.0
2657,"A little boy asked his father, ""Daddy, how much does it cost to get married?"" And the father replied, ""I don't know son, I'm still paying.""","Family, Parents",0.8
2489,"If a mute swears, does his mother wash his hands with soap?","Family, Parents",0.534
2284,"""I can't go on like this!"" the woman bawled at her husband. ""My mother sends us money, my sister buys our kids clothes, and my aunt brings us food. I'm so ashamed."" ""You should be!"" replied the never-do-well. ""Your uncles don't give us a damn thing.""","Family, Parents",0.6000000000000001
2355,"A budding actor: ""Dad guess what? I've got my first part in a , I play the part of a man who has been maried for 25 years."" Father: ""That's a good start son, just keep at it and one of these days you'll get a speaking part.""","Family, Parents",0.8
2882,"A woman in Brooklyn decided to prepare her Will and make her final requests. She told her rabbi she had two final requests. First, she wanted to be cremated, and second, she wanted her ashes scattered all over Bloomingdales. ""Why Bloomingdales?"" asked the rabbi. ""Then I'll be sure my daughters visit me twice a week.""","Family, Parents",0.0
2761,"A mother was showing her son how to zip up his coat. ""The secret,"" she said, ""is to get the left part of the zipper to fit in the other side before you try to zip it up."" The boy looked at her quizzically: ""Why does it have to be a secret?""","Family, Parents",0.4
2274,"When I was younger I hated going to weddings ...it seemed that all of my aunts and the grandmotherly types used to come up to me, poking me in the ribs and cackling, telling me, 'You're next.' They stopped after I started doing the same thing to them at funerals.","Family, Parents",0.2
1019,"A gentleman, fresh out of gift ideas, bought his mother-in- law a large plot in an expensive cemetery. On her next birthday, he bought her nothing.She was quick to comment, loud and long, on his thoughtlessness. The gentleman said only one thing - ""Well, you haven't used the gift I gave you last year.""","Family, Parents",0.8
1952,"A worried Father asked his daughter if her latest beau was serious about their relationship.""I'll say he is Daddy."" responded the girl.""Just last nite he asked me how much you make, what kind of meals Mom serves and if you two are easy to get along with.""","Family, Parents",0.8
1990,"A worried Father asked his daughter if her latest beau was serious about their relationship.""I'll say he is Daddy."" responded the girl.""Just last nite he asked me how much you make, what kind of meals Mom serves and if you two are easy to get along with.""","Family, Parents",0.4
3147,Mom,"Family, Parents",0.8
3151,(Notes pinned to the pillow of a mother who has the flu by a well meaning husband who has inherited the house and kids.),"Family, Parents",1.0
2760,"On the first day of school, a first grader handed his teacher a note from his mother. The note read, ""The opinions expressed by this child are not necessarily those of his parents.""","Family, Parents",0.6000000000000001
2119,"A farmer sent his nephew a crate of chickens, but the box burst open just as the boy started to take them out.The next day he wrote his uncle, ""I chased them through my neighbor's yard, but only got back eleven."" The uncle wrote back: ""You did all right.I only sent six.""",Farmers,0.8
889,"There were these two cows, chatting over the fence between their fields. The first cow said, ""I tell you, this mad-cow-disease is really pretty scary. They say it is spreading fast; I heard it hit some cows down on the Johnson Farm."" The other cow replies, ""Hell, I ain't worried, it don't affect us ducks.""",Farmers,0.35000000000000003
890,"A man goes into a restaurant with his wife. The waiter approaches the table and asks for their order. ""I'll have your biggest, juiciest steak,"" he says. ""But sir, what about the mad cow?!"" asks the waiter. ""Oh,"" answers the man, ""she'll order for herself.""",Food Jokes,0.534
324,"""May I take your order?"" the waiter asked. ""Yes, how do you prepare your chickens?"" ""Nothing special sir,"" he replied. ""We just tell them straight out that they're going to die.""",Food Jokes,0.9
378,"A waiter brings the customer the steak he ordered, with his thumb over the meat as he is carrying the plate. ""Are you crazy?"" yelled the customer, ""you have your hand on my steak!"" ""What,"" answers the waiter, ""you want it to fall on the floor again?""",Food Jokes,0.6000000000000001
2588,How do priests make Holy Water?They boil the hell out of it!,Heaven and Hell,0.9
2533,WARNINGS that should appear on alcohol bottles and over bars,Heaven and Hell,0.4
1950,"A little girl came to a pregnent lady, and while pointing to her stomach asked : ""What's that?""The lady proudly replied: ""That's my little baby and I love him very much!""The little girl then said: ""If you love him that much, then why the hell did you eat him?""",Heaven and Hell,0.6000000000000001
2622,Top 26 ways to deal with Stressful Lives,Heaven and Hell,1.0
2507,"If a turtle loses his shell, is it naked or homeless?",Heaven and Hell,0.8
2568,YOU KNOW IT'S GOING TO BE A BAD DAY WHEN:,Heaven and Hell,0.4
2465,"Pilot: Pilot to tower. . . pilot to tower. . . I am 300 miles from land. . . 600 feet high and running out of gas. . . please instruct. . . over. Tower: Tower to pilot. . . tower to pilot. . . Repeat after me. . . ""Our Father, which art in heaven. . . """,Heaven and Hell,0.6000000000000001
1977,"Up in heaven there is a white picket fence.On one side stood GOD on the other side stood Satan and a few of his henchmen.The devilshelpers were kicking holes in the fence.GOD said ""if you don't tell them to stop, I'll sue you"".Satan started laughing and replied ""You think you'll find a lawyer on your side of the fence?""",Heaven and Hell,0.6000000000000001
1697,"When the new patient was settled comfortably on the couch, the psychiatrist began his therapy session.""I'm not aware of your problem,"" the doctor said.""So perhaps, you should start at the very beginning.""""Of course,"" replied the patient.""In the beginning, I created the Heavens and the Earth...""",Heaven and Hell,0.6000000000000001
1964,"A drunken man gets on the bus late one night, staggers up the aisle, and sits next to an elderly woman.She looks the man up and down and says, I've got news for you. You're going straight to hell!"" The man jumps up out of his seat and shouts, ""Good heavens, I'm on the wrong bus!""",Heaven and Hell,0.9
3311,"On the 12th day of the Eurocentrically imposed midwinter festival, my Significant Other in a consenting adult, monogamous relationship gave to me:",Holidays,0.6000000000000001
928,"As a little girl climbed onto Santa's lap, Santa asked the usual, ""And what would you like for Christmas?"" The child stared at him open mouthed and horrified for a minute, then gasped, ""Didn't you get my E-mail?""",Holidays,0.466
3327,The folks at American Greetings have compiled a list of lines to use when signing you valentine.... depending on your personality.,Holidays,0.4
3301,.. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. Answers:,Holidays,0.4
2350,"A woman went to a tattoo parlor. The artist was curious at her unsual request: A turkey on one leg and a ham on the other. The woman looked at the artist and said""My husband complains there is nothing good to eat between Thanksgiving and Christmas!""",Holidays,0.6000000000000001
3302,.. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. ..,Holidays,0.4
3278,"""A Guide For Giving The Ideal Gift""",Holidays,0.4
3303,"To: All Employees From: Management Subject: Office conduct during the Christmas season Effective immediately, employees should keep in mind the following guidelines in compliance with FROLIC (the Federal Revelry Office and Leisure Industry Council). In spite of all this, the staff is encouraged to have a Happy Holiday.",Holidays,1.0
2460,"Two rednecks had just gone fishing and brought in the largest amount of fish they had ever seen. One said to the other, ""Did you mark the place where the fishing was so good?""""Yes, I put an X on the side of the boat. """"You idiot. That if we were gonna take a different boat next time?""",Idiots,1.0
2434,"Professor: If there are any idiots in the classroom, please stand up. There was a long pause, then a lone freshman stood up in the back. Professor: So you consider yourself an idiot?Freshman: Well, not exactly. I just hated seeing you being the only one standing.",Idiots,0.9
1040,"Read each of the following lines out loud. This is this cat This is is cat This is how cat This is to cat This is keep cat This is an old cat This is idiot cat This is busy cat This is for cat This is forty cat This is seconds cat Now, go back and read the THIRD word in each line, starting at the top.",Idiots,0.9660000000000001
2508,"A moron walks into a bar with a pile of dog crap in his hands and says, ""Hey guys, look what I almost stepped in.""",Idiots,1.0
2743,"A group of hikers were being led through the wilderness by a guide. On the third day, the hikers noticed that they had been travelling in circles. ""We're lost!"" One of the men complained. ""I thought you said you were the best guide in the United States."" ""I am,"" the guide answered, ""but I think we may be in Canada now.""",Idiots,0.6000000000000001
1146,What do the Star Ship Enterprise and toilet paper have in common? They both circle Uranus searching for Klingons.,Idiots,0.4
1251,"A man is at his lawyer's funeral and and is surprised by the turnout for this one man. He turns to the people around him. ""Why are you all at this man's funeral?"" A man turns towards him and says, ""We're all clients."" ""And you ALL came to pay your respects? How touching."" ""No, we came to make sure he was dead.""",Lawyers,0.4
1239,Q: What's the difference between a lawyer getting hit by a car and a dog getting hit by a car?A: There's skid marks before the dog.,Lawyers,0.6000000000000001
2010,Q: What's brown and black and looks good on a lawyer?A: A pitbull.Did you hear about the new dog breed in pet shops? They crossed a pitbull with a collie. First it bites your leg off and then it goes for help.,Lawyers,0.4
1259,"Q. Why are lawyers like nuclear weapons? A. If one side has one, the other side has to get one. Once launched, they cannot be recalled. When they land, they screw up everything forever.",Lawyers,0.6000000000000001
1223,"Lawyer: I have some good news and some bad news. Client: Well, give me the bad news first. Lawyer: The bad news is that the DNA tests showed that it was your blood they found all over the crime scene Client: Oh no! I'm ruined! What's the good news? Lawyer: The good news is your cholesterol is down to 130!",Lawyers,0.4
2825,"Q: How many frat guys does it take to screw in a light bulb? A: Three: One to screw it in, and the other two to help him down off the keg. A: Five: One to hold the bulb, and four to guzzle beer until the room spins. A: None. Frat boys screw in puddles of vomit.",Light Bulbs,0.4
2793,Q: How many 'Cliffie girls does it take to change a light bulb? A: It's ''Radcliffe Women'' and it's not funny!,Light Bulbs,0.4
2779,Q: How many Jewish mothers does it take to screw in a light bulb? A: None. (''That's all right...I'll just sit here in the dark...''),Light Bulbs,0.4
2766,Q: How many WASPs does it take to change a light bulb? A: Two. One to call the electrician and one to mix the martinis.,Light Bulbs,0.2
2846,"Q: How many TV comedians does it take to screw in a light bulb? A: Two, one to screw it in, and another to say ''Sock it to Me.'' (Notes: Sock it = Socket. Also, the phrase was from Laugh In.)",Light Bulbs,0.4
2813,Q: How does god change a light bulb? A: He holds the bulb and rotates the planet.,Light Bulbs,0.2
2803,"Q: How many gorillas does it take to screw in a light bulb? A: Only one, but it sure takes a sh*tload of light bulbs!",Light Bulbs,0.4
2783,Q: How many Marxists does it take to screw in a light bulb? A: None: The light bulb contains the seeds of its own revolution.,Light Bulbs,0.6000000000000001
2771,Q: How long will it take for a field service engineer to change a light bulb? A: That's indeterminate. It depends on how many dead bulbs they've brought with them.,Light Bulbs,0.4
2870,"Q: How many libertarians does it take to change a light bulb? A: Libertarians never change light bulbs, because someone might enter the room who wants to sit in the dark.",Light Bulbs,1.0
2832,Q: How many WASP Princesses does it take to screw in a light bulb? A: Two. One to get a Tab and one to call Daddy.,Light Bulbs,0.8
2848,"Q: How many mystery writers does it take to screw in a light bulb? A: Two, one to screw it almost all the way in and the other to give it a surprising twist at the end.",Light Bulbs,1.0
2830,"Q: How many Necrophiliacs does it take to screw in a light bulb? A: None. Necrophiliacs prefer dead bulbs. A: Only one. ''Oh, excuse me, could you please test the socket with your finger while I go get a new bulb?''",Light Bulbs,0.6000000000000001
2874,Q: How many presidential candidates does it take to change a light bulb? A: Fewer and fewer all the time.,Light Bulbs,0.6000000000000001
2811,"Q: How many public utility workers does it take to screw in a light bulb? A: 10. One to hold the bulb, 6 to rotate the ladder, and 3 to supervise.",Light Bulbs,0.2
2829,Q: How many a-holes does it take to change a light bulb? A: None; a-holes never see the light anyway.,Light Bulbs,1.0
2799,Q: How many Zen masters does it take to screw in a light bulb? A: A tree in a golden forest. A: Two: one to change the bulb and one not to change it. A: One to change and one not to change is fake Zen. The true Zen answer is Four. One to change the bulb. A:None. Zen masters carry their own light.,Light Bulbs,0.6000000000000001
2791,"Q: How many jugglers does it take to change a light bulb? A: One, but it takes at least three light bulbs.",Light Bulbs,0.6000000000000001
2862,"Q: How many poets does it take to change a light bulb? A: Three. One to curse the darkness, one to light a candle... and one to change the bulb.",Light Bulbs,1.0
2844,"Q: How many Chinese Red Guards does it take to screw in a light bulb? A: 10,000 - to give the bulb a cultural revolution.",Light Bulbs,0.6000000000000001
2797,"Q: How many data base people does it take to change a light bulb? A: Three: One to write the light bulb removal program, one to write the light bulb insertion program, and one to act as a light bulb administrator to make sure nobody else tries to change the light bulb at the same time.",Light Bulbs,0.8
2853,Q: How many existentialists does it take to screw in a light bulb? A: Two: One to screw it in and one to observe how the light bulb itself symbolizes a single incandescent beacon of subjective reality in a netherworld of endless absurdity reaching out toward a maudlin cosmos of nothingness.,Light Bulbs,1.0
1091,What bird represents freedom ?The EagleWhat bird represents peace ?The DoveWhat bird represents true love ?The Swallow,Love & Romance,0.4
2215,"If your dog is barking at the back door and your wife is yelling at the front door, who do you let in first? The dog of course. At least he'll shut up after you let him in.",Marriage,0.8
961,"A man comes home to find his wife packing her suitcase. He says ""Honey, what are you doing"". She says, ""I'm leaving you, I want a divorce.""The husband says, ""But why, what's wrong?""The wife says, ""I just found out that you are a pedophile""The husband says, ""Whoa, that's an awful big word for a 10-year old.""",Marriage,0.4
1966,"When met by a long procession of people led by a man with a dog, Joe asked the man: ""Who died?""""My Mother in law.""""How?"" Joe asked.""The dog bit her.""""Can I borrow the dog?""""Get in line.""",Marriage,0.4
833,"A married couple is sleeping when the phone rings at 3 a.m. The wife picks up the phone and, after a few seconds, replies,""How am I supposed to know? We're 200 miles inland!""and hangs up. Her husband rolls over and asks,""Sweetheart, who was that?"" ""I don't know,some idiot asking if the coast is clear.""",Marriage,0.8
689,"As a old man was driving down the freeway, his car phone rang.Answering, he heard his wife's voice urgently warning him,""Herman, I just heard on the news that there's a car going the wrong way on Route 280. Please be careful!""""It's not just one car,"" said Herman, ""It's hundreds of them!""",Marriage,0.534
1017,"Mary went to the doctor complaining of body odor.""Do you wash?"" the doctor asked the smelly young girl.""Oh, yes,"" Mary answered. ""Each morning, I start at my head andwash down as far as possible. Then I start at my feet and I washup as far as possible.""""Well,"" the doctor concluded, ""Go home and wash 'possible'!!!""",Medical,0.2
922,Michael Jackson was announced that he is the proud father of a baby boy. He asked his wife's doctor how soon after the birth could he have sex. The doctor told him he should wait until the kid is at least 12 or 13 years old.,Medical,0.9
3204,Announcement: the Mental-Illness-of-the-Month Club is being disbanded immediately. The reasons being:,Medical,1.0
3215,Hello! Welcome to the Psychiatric Hotline!,Medical,1.0
3190,".......""Doctor, I have an ear ache.""",Medical,0.8
3203,Medical Truths,Medical,0.6000000000000001
2525,Did you hear about the accident at the army base? A jeep ran over a box of popcorn & killed 2 colonels,Military,1.0
