,Unnamed: 0,Joke,category,Rating
4,9733.0,One fine day.... you're just walking by.... You look at this bird.... it shits in your eye.... You don't swear.... you don't cry.... You just thank God.... that cows don't fly....,Animal,0.7629
136,6116.0,"Bought the wife a hamster fur coat for her birthday, she was delighted with it. We went to the fair; took me 4 hours to get her off the big wheel!",Animal,0.9272
107,9688.0,When was the price of milk the highest? When the cow jumped over the moon.,Animal,0.6540850749704987
182,9504.0,Q: What is big and grey and comes in quarts? A: An elephant.,Animal,0.680234487172775
100,2483.0,What is black and white and red all over? An embarrassed zebra,Animal,0.5598527721004094
217,5813.0,Boy(howling): A crab just bit my toe! Father: Which one? Boy: How should I know?!?!?! All crabs look alike to me!!,Animal,0.7203920335508883
88,241.0,"A horse walked into a bar. The barman said, ""Why the long face?""",Animal,0.651909159286879
80,9337.0,How do you shut up a crying baby? Finish the job.,Animal,0.5312865511832526
77,8977.0,Can you decipher this phrase? E N U T Tune up!,Animal,0.75
31,1728.0,"""Don't be afraid of the dog,"" said the lady to young Johnny, who was delivering her groceries. ""You know the old proverb, 'A barking dog never bites?'"" ""Yes,"" replied young Johnny. ""You know the proverb. I know the proverb. But does your dog know the proverb?""",Animal,0.6522470716503449
197,633.0,"Tonto and the Lone Ranger were lost on the prairie one day. The Lone Ranger says to Tonto, ""Use your Indian instincts and get us out of this mess."" Tonto bends down and puts his ear to the ground. He turns and says to the Lone Ranger, ""Buffalo come."" The Lone Ranger says to Tonto, ""How do you know?"" Tonto says, ""Ear sticky.""",Animal,0.4471631937356666
206,7252.0,What do you do if you discover an endangered animal that eats only endangered plants?,Animal,0.665464666346088
101,1874.0,Why do gorillas have big nostrils? Because they have big fingers!!!,Animal,0.75
221,4973.0,"An ant and an elephant got married. After they had sex, the elephant had a heart attack and died. ""Crap,"" the ant said. ""Five minutes of passion and now the rest of my life digging a grave.""",Animal,0.5093900006740354
15,866.0,Your so stupid you tried to kill a fish by drowning it!,Animal,0.43485482802912595
123,7277.0,"Walking past a veterinary clinic, a woman noticed a small boy and his dog waiting outside. ""Are you here to see Dr. Meyer?"" she asked. ""Yes,"" the boy said. ""I'm having my dog put in neutral.""",Animal,0.6952642779331655
14,5679.0,Why wasn't the giraffe invited to the party? He was a pain in the neck to talk to.,Animal,0.6128236080684233
114,7331.0,"Knock knock. Who's there? Cows. Cows who? No, owls hoo, cows moo.",Animal,0.5613859074664302
86,5833.0,Q: When is a black dog not a black dog? A: When its a grey hound.,Animal,0.6681177036879584
25,2965.0,Q. Why should you be careful when it's raining cats and dogs? A. Because you might step in a poodle.,Animal,0.7811750143776648
72,684.0,Q: Where do cows go on Saturday nights? A: To the moovies,Animal,0.67575044920668
185,9482.0,Q: Why do elephants paint their toes yellow? A: So they can hide upside down in the custard.,Animal,0.6896249999999999
198,3099.0,What do you get when you cross an elephant with Darth Vador? An elevator,Animal,0.6535051364568062
0,2964.0,"Is your devotion to your cat and ""cat things"" in the training stage, at a moderate level, or extreme? Or are you an all out shameless ""cat-a-holic?"" Let's just see how you rate as a ""cat person,"" shall we? See how many of these can you give an HONEST ""yes"" answer to:",Animals,0.5
6,2893.0,Q. What did the father buffalo say to the son buffalo when he left for school? A. Bison!,Animals,0.0
1,2897.0,Q. What do you get when you cross a centipede with a turkey? A. Drumsticks for everybody!,Animals,0.8
10,2889.0,Q. What do you call a cow murder mystery? A. moo-done-it.,Animals,0.0
9,2887.0,Q. What do cows do for fun? A. They go to MOO-vies!,Animals,0.0
13,2886.0,What did the horse say when he fell? I've fallen and I can't giddy up!,Animals,0.0
11,2409.0,"A man dropped by his friend's house to pay him a visit and was amazed to see him playing a game of chess with his dog. After a few minutes he burst out with, ""That's the most incredible dog I've ever seen!""""Oh he isn't so smart,"" was the answer. ""I've beaten him three games out of four.",Animals,0.6000000000000001
3,3010.0,"To tell the weather, go to your back door and look for the dog. The CAT",Animals,0.4
4,2969.0,How to tell if your cat has a problem by asking yourself the following questions:,Animals,0.8
14,1842.0,"Q: What do you call a cat with a machine gun?A: Sir.Q: What does a snail do on a tortoise's back?A: ""Vrooom... vrooom... vrooooooom...""Q: How do you know if there is an elephant under the bed?A: Your nose is touching the ceiling.",Animals,0.6000000000000001
8,2294.0,"A dog walks into an employment agency and says ""I'd like to get a job please."". The guy at the employment agency says ""Wow, you could easily get a job at the circus with your talents."" The dog replys ""What would the circus want with a plumber?""",Animals,0.6000000000000001
5,2888.0,Q. What are the two main political parties in Canada? A. Moose and Squirrel,Animals,0.0
15,696.0,"A pair of birds were sitting on a branch of a tree when they see a turtle run past them, jump off the branch and flap his arms as hard as he can. He falls to the ground. The poor turtle repeats this process numerous times, and then one bird says to the other ""dear, do you think we should tell him he's adopted?""",Animals,0.8
12,2182.0,Q: Where can you find a dog with no legs?A:Right where you left it.,Animals,0.4
2,1132.0,"A three legged dog is walking down the middle of the road with a shotgun in his hand. When he was asked why he had a shotgun he said ""I'm looking for the man who shot my pa"".",Animals,0.2
7,2890.0,Q. What do you call a chicken that crosses the road rolls in dirt and comes back? A. dirty double crosser,Animals,0.0
253,9377.0,DMV jokes get old really fast. Unlike the DMV. You have to go through a special line to become old.,At Work,0.892975
273,6753.0,"1) If it rings, put it on hold. 2) If it clanks, call the repairman. 3) If it whistles, ignore it. 4) If it's a friend, take a break. 5) If it's the boss, look busy. 6) If it talks, take notes. 7) If it's handwritten, type it. 8) If it's typed, copy it. 9) If it's copied, file it. 10) If it's Friday, forget it!",At Work,0.86435
275,4739.0,I almost got fired for telling this joke at work: Do you know why fireman have bigger balls than policeman? They sell more tickets!,At Work,0.5829580193918198
268,1102.0,"Police Chief: As a recruit, you'll be faced with some difficult issues. What would you do if you had to arrest your mother? New Recruit: Call for backup!",At Work,0.49555896964995194
233,8827.0,"A machine operator comes home from the factory and tells his wife, ""Honey, I've got some good news and some bad news. First, the good news, I got $25,000 severance pay!"" His wife said, ""$25,000 in severance pay? That's great! So what's the bad news?"" He said, ""Wait till you hear what was severed!""",At Work,0.89425
274,5558.0,"What door cannot be pushed, even by 10 people simultaneously? The door that says: PULL",At Work,0.6579763999208808
277,8204.0,"A man applied for a job as an industrial spy. Together with several other applicants, he was given a sealed envelope and told to take it to the fourth floor. As soon as the man was alone, he stepped into an empty hallway and opened the envelope. Inside, a message read: ""You're our kind of person. Report to the fifth floor Personnel Office.""",At Work,0.5484212914677337
231,5865.0,"Waiter, why is my food all mushed up? -Well, you did ask me to step on it. Waiter, these eggs are bad. -Don't blame me. I only laid the table. Waiter, is there soup on my menu? -No, I wiped it off.",At Work,0.5444541974443943
238,5581.0,"I am not a believer in seances, but I went to one just to see what they are like. The psychic was doing his thing and grinning from ear to ear. I assumed his merriment was due to the fact that he was fooling a gullible public and gave him a poke in the nose. You can probably guess the rest. I was arrested for striking a happy medium.",At Work,0.933775
300,8267.0,"Another Month Ends: All Targets Met, All Systems Working, All Customers Satisfied, All Staff Eager and Enthusiastic, All Pigs Fed and Ready to Fly.",At Work,0.96875
256,6049.0,DELETE THIS NOW!,At Work,0.6923524811863899
276,7904.0,"""How can I ever thank you?"" gushed a woman to Clarence Darrow, after he had solved her legal troubles. ""My dear woman,"" Darrow replied, ""ever since the Phoenicians invented money there has been only one answer to that question.""",At Work,0.892975
245,4779.0,"Two contracters were building a house. While they were sawing a board, the saw slipped and cut of one of the contracter's ears off. They were looking through the sawdust and one contracter came up with the ear. He asked his co-worker, ""Is this it?"" The other one said ""No, mine had a pencil behind it!""",At Work,0.567184720589593
247,733.0,"Did you hear about the director of the Department of Motor Vehicles who resigned on Tuesday? He tried to resign on Monday, but discovered he'd been standing in the wrong line.",At Work,0.4651401135149412
235,9102.0,"""Tomorrow is a boiling hot day, at 10 degrees Fahrenheit. The day after that is the same temperature, as well as the next and the next. Won't these temperatures ever cool down?""",At Work,0.881675
270,8793.0,Because Lexus created the park it your self car many Mexicans lost their jobs.,At Work,0.6309770368446362
281,7648.0,"The policeman stopped a woman for exceeding the posted speed limit. He asked the driver her name. ""I'm Mrs. Ladislav Abdulkhashim Zybkcicraznovskaya from the Republic of Uzbekistan visiting my daughter in Columbia,"" she said. The cop put away his summons book and pen, and said, ""Well, OK... but don't let me catch you speeding again.""",At Work,0.6355518405815587
258,8239.0,As a shepherd you herd your sheep into your barn. As you walk away you hear two wolves in the barn. What do you do? I would get the flock out of there!,At Work,0.6563984113745391
266,1992.0,"A guy eats at a restaurant. At the end of the meal, the guy looks at the check: Salads . . . . . . $3 Steak . . . . . . $10 Works . . . . . . .$5 Cola . . . . . . . $2 ----------------------- Total $20 The customer asked the waiter ""What's 'works'?"" ""This time it didn't work"" said the waiter and crossed out that row.",At Work,0.663293561944738
282,8472.0,"You've heard about the new hair salon which opened up right across the street from the old established hair cutters' place, haven't you? They put up a big old sign, ""WE GIVE SEVEN DOLLAR HAIR CUTS!"" Not to be outdone, the old shop put out their own sign: ""WE FIX SEVEN DOLLAR HAIR CUTS""",At Work,0.625475
244,8249.0,"""They're multipurpose. Not only do they put the clips on, but they take them off."" - Pratt & Whitney spokesperson explaining why the company charged the Air Force nearly $1000 for an ordinary pair of pliers.",At Work,0.5925919677354395
295,3337.0,"An astronaut in space was asked by a reporter, ""How do you feel?"" ""How would you feel,"" the astronout replied, ""if you were stuck here, on top of 20,000 parts each one supplied by the lowest bidder?""",At Work,0.598394697329402
248,9592.0,"Dad to his family: The phone bill is exceptionally high. You have to limit its use. I don't use this telephone. I use the one a the office. Mum: Same here, I hardly use this phone as I use my work telephone. Son: Me too, I never use the home telephone. I always use my company mobile. Maid: So what's the problem? We all use our work telephones!",At Work,0.5322363554222509
287,8134.0,"Salary Increase ""I must have a raise,"" the man said to his boss. ""There are three other companies after me."" ""Really?"" the boss asked. ""What other companies are after you?"" ""The gas company, the telephone company, and the electricity company,"" the man replied.",At Work,0.7533429816303774
241,7774.0,"Sign in restaurant window: ""Eat now - Pay waiter.""",At Work,0.6554757308855653
229,4474.0,"Many employers motivate workers with bonuses. Some offer gym memberships, a few even supply day care for their working mothers and fathers. Our bosses go a step further. A sign posted in our break room read: New Incentive Plan . . . Work or get fired!",At Work,0.8719354378898628
284,9263.0,"Real headline: ""Air Traffic Controllers Can Apply for Job in Braille""",At Work,0.75
296,3224.0,"The accountant's prayer: ""Lord, help me be more relaxed about insignificant details, starting tomorrow at 10.53:16 am, Eastern Daylight Saving Time.""",At Work,0.8867
297,8165.0,"Two detectives were investigating a scene, The victims had their hands and head cut off. ""It's going to be a nightmare identifying the bodies, with no finger prints or faces"" said one. The other replied, ""I thought it would be rather easy, how many people do you know walking around with no head or hands?""",At Work,0.5032418509932235
269,3407.0,PLEASE DON'T SMOKE IN MY OFFICE! I enjoy sex more than you enjoy smoking but you don't see me screwing in your office.,At Work,0.8410688426034758
251,7144.0,"A car was involved in an accident in a street. As expected, a large crowd gathered. A newspaper reporter, anxious to get his story, could not get near the car. Being a clever sort, he started shouting loudly, ""Let me through! Let me through! I am the son of the victim."" The crowd made way for him. Lying in front of the car was a donkey.",At Work,0.5686
262,7146.0,"After interviewing a particularly short-spoken job candidate, the interviewer described the person to his boss as rather monosyllabic. The boss said, ""Really? Where is Monosyllabia?"" Thinking that his boss was just kidding, he played along and said that it was just south of Elbonia. He replied, ""Oh, you mean over by Croatia?""",At Work,0.7978410115210339
286,6915.0,"""You were speaking much too long on the phone just now, Miss Ponsonby,"" said Mr.Jones. ""But it was a business call, Mr. Jones."" ""Well, please don't address our clients as 'sweetikins'in the future.""",At Work,0.847975
252,7947.0,"Five policemen were on a boat. The boat sank. How many policemen died? 10 - five during the accident, and five during the re-enactment.",At Work,0.46127698636129494
237,4134.0,"Q. Doctor, how many autopsies have you performed on dead people? A. All my autopsies have been performed on dead people.",At Work,0.4376657030195929
279,5726.0,"A Director said to the actress: ""You have to jump from 100 feet into a swimming pool."" Actress: ""But I dont know how to swim."" Director: ""I know, that's why I removed all the water from the swimming pool.""",At Work,0.6546651850221679
280,6490.0,"""I finally got my boss to laugh,"" said one friend to another after work. ""Oh, how?"" ""I asked for a raise!""",At Work,0.885275
265,6571.0,How does the guy who drives the snowplow get to work in the mornings?,At Work,0.6860700431512669
283,6779.0,"William P. Holcomb's job is to supervise the tracking down of Houston, Texas parking ticket violators. It was revealed that he himself had 375 unpaid tickets.",At Work,0.5423498507147655
299,9134.0,"A boss of a computer company walked up to one of his workers. ""You're fired!"" exclaimed the boss. ""I didn't do anything!"" replied the confused worker. The boss, happy with his answer, says, ""I know. That's why you're fired!""",At Work,0.7788751746692695
259,5004.0,"A man was bragging about his sister who disguised herself as a man and joined the Army. ""But wait a minute,"" said the listener, ""She'll have to dress with the boys and shower with them too, won't she?"" ""Sure,"" replied the man. ""Well? Won't they find out?"" ""And who's gonna tell?""",At Work,0.6592
234,4781.0,"Patient: ""It must be tough spending all day with your hands in someone's mouth."" Dentist: ""I just think of it as having my hands in their wallet.""",At Work,0.6781666334667243
261,7821.0,"The song, ""Yankee Doodle"" was originally sung by British soldiers to insult the colonialists (which was typical of the British in those days). The Continental Army took to singing it to annoy the British (which was typical of the colonialists).",At Work,0.4666113631514832
293,9039.0,Meteorologists - People who tell something wrong and still get paid.,At Work,0.630825
236,5100.0,"""So, how did you do?"" the boss asked his new salesman after his first day on the road. ""All I got were two orders."" ""What were they? Anything good?"" ""Nope,"" the salesman replied. ""They were 'Get out!' and 'Stay out!""",At Work,0.75
264,5816.0,"Doctor: Mrs Smith, you have acute angina. Mrs. Smith: I came here to be examined, not admired.",At Work,0.649425
230,5239.0,What is the difference between Mechanical Engineers and Civil Engineers? Mechanical Engineers build weapons and Civil Engineers build targets.,At Work,0.5591820180091076
298,8553.0,"I wouldn't have believed this unless I seen it with my own eyes. I was walking down a street in the city I live in and noticed a store was going out of business. In the window was a huge sign ""GOING OUT OF BUSINESS SALE"", directly below that sign was another sign that said ""NOW HIRING!"" Talk about no job security!",At Work,0.8684499999999999
272,9856.0,What do accountants suffer from that ordinary people don't? Depreciation.,At Work,0.5832322066754103
250,1276.0,"Boss (to the new employee): We are very keen on cleanliness. Did you wipe your feet on the mat as you came in? New employee: Yes, sir. Boss: We are also keen on truthfulness. There is no mat.",At Work,0.95775
246,4920.0,"A young and foolish pilot wanted to sound cool and show who was boss on the aviation frequencies. So, this was his first time approaching a field during the nighttime. Instead of making any official requests to the tower, he said, ""Guess who?"" The controller switched the field lights off and replied, ""Guess where!""",At Work,0.7815
232,2342.0,"Harry walks into his supervisor's office. ""Boss,"" he says, ""We're doing some heavy house-cleaning at home tomorrow, and my wife needs me to help with the attic and the garage, moving and hauling stuff."" ""We're short-handed, Harry,"" the boss replies. ""I can't give you the day off."" ""Thanks, boss,"" says Harry, ""I knew I could count on you!""",At Work,0.831234810954798
288,5591.0,A guy goes to work and kills everyone...what is this called...? Going Postal...,At Work,0.5151860195782035
271,5579.0,"A guy is walking down the street with his friend. He says to his friend, ""I'm a walking economy."" His friend replies, ""How's that?"" ""It's like this -- my hair line is in recession, my stomach is a victim of inflation, and the combination of these factors is putting me into a deep depression.""",At Work,0.8510968922690954
301,7009.0,"November 15, 1996 - PSA was following United, taxiing out for departure. PSA called the tower and said ""Tower, this is United 586. We've got a little problem, so go ahead and let PSA go first."" The tower promptly cleared PSA for takeoff before United had a chance to object to the impersonation.",At Work,0.8746632767964154
306,528.0,"A drunk phones the police. He yells, ""Come quick! Thieves have stolen my dashboard, steering wheel, brake and gas pedal, and my dang radio!! MY RADIO!!"" The police are just about to send out an officer when the drunk phones back. He says very calmly, ""Sorry officers. It turns out I just got in my backseat.""",Bar,0.4296266458887607
335,1473.0,"An Irish man walks into a bar. The bartender looks at him and notices he has a steering wheel stuck down the front of his pants. ""Hey,"" he says, ""What's with the steering wheel down your pants?"" ""Ach,"" says the Irish man, ""it's drivin' me nuts!""",Bar,0.5875977608110756
349,8631.0,"Waiter, this plate is wet. That's your soup, sir.",Bar,0.6546752930851654
327,8633.0,"Customer: I see you have gravy on your menu today. Waiter: Yes, sir. What would you like to have? Customer: A clean menu!",Bar,0.9504
308,4423.0,I-rish my beer was full...,Bar,0.75
324,9426.0,The Englishman and the Scotsman both walk into a bar. The Irishman ducks under it.,Bar,0.652629068295937
315,6909.0,"A man walks into a bar and throws down a bet. 100 dollars to anyone who can do 100 pushups. A man disappears outside and returns minutes later. ""I'll take that bet"" the man says, and collapses after 50 pushups. ""I don't get it"", he says,"" I just did 150 outside!""",Bar,0.5118142818102613
323,9414.0,"An infinite number of mathematicians walk into a bar. The first goes up to the bartender and says, ""I'll have a pint of lager, please."" The next one says, ""and I'll have half of what he's having."" The bartender says, ""You're all idiots,"" and pulls two pints.",Bar,0.6702118081827182
350,8026.0,"A man stumbles into his house after a night of drinking and is greeted by his very angry wife. ""What's the big idea of coming home half drunk?"" she yells. ""I'm sorry, honey, but I ran out of money,"" he mutters.",Bar,0.5938268639963353
321,9566.0,"""Three people of different nationalities walk into a bar. Two of them say something smart, and the third one makes a mockery of his fellow countrymen by acting dumb.""",Bar,0.680859026248753
351,8407.0,I saw this sign in a bar a few years ago. A camel can go eight days without a drink - but who the hell wants to be a camel.,Bar,0.4475184715815936
332,795.0,"A mushroom walks into a bar and asks for a beer. The bartender, not wanting to serve a mushroom, says ""Uh uh, I'm not serving no mushroom."" ""Aw, come on - I'm a fungi!"" the mushroom replies.",Bar,0.7275821927326265
334,8630.0,"Waiter, this lobster has only one claw. I'm sorry, sir. It must have been in a fight. Well, bring me the winner then.",Bar,0.7704556467421819
318,6254.0,"So, Michael Jackson walks into a bar. Oh, that looked like it hurt! It must have knocked his nose off!",Bar,0.5608493603236974
353,5024.0,"A girl walks into a bar and sits down with her friend. She is feeling down, so she talks to her friend. Her friend says ""Go get a beer."" She says she didn't want one. Then the friend says ""Hey, who said it was for you?"" copyright fox corp.",Bar,0.8831589619140606
344,5430.0,"A man walks into a bar. He falls down, unconscious. Why is this? Because the man walked into a solid bar. A solid, metal bar!",Bar,0.7413226565469522
342,1467.0,"A grasshopper walks into a bar. The bartender smiles and says ""Hey, ya know we have a drink named after you!"" The grasshopper stops and says ""Really? You have a drink called Steve?""",Bar,0.8069534955352545
319,9561.0,"An Englishman, an Irishman, and a Scotsman walk into a bar. The bartender turns to them, takes one look, and says ""What is this - some kind of joke?""",Bar,0.6515542624983937
348,7866.0,"A regular at Bob's Bar came in one evening sporting a matched pair of swollen black eyes that appeared extremely painful. ""Whoa, Sam!"" said the bartender. ""Who gave those beauties to you?"" ""Nobody gave them to me,"" said Sam. ""I had to fight like crazy for both of them.""",Bar,0.5624926910895853
336,3063.0,"An Irish man walks out of a bar..............Hey, It could happen",Bar,0.6592361594317482
341,5654.0,"A huge black man entered in a bar with a huge and colorful parrot on his shoulder. The bartender was amazed, so he asked ""Where did you get that thing?"" Then the parrot said, ""Well they're walking all over Africa...""",Bar,0.959
325,1498.0,"Two ducks walk into a bar... One duck looks at the other and says ""Guess you didn't see it either.""",Bar,0.6759293012088164
309,358.0,"Our lager, Which art in barrels, Hallowed be thy drink. Thy will be drunk, I will be drunk, At home as it is in the tavern. Give us this day our foamy head, And forgive us our spillages, As we forgive those who spill against us. And lead us not to incarceration, But deliver us from hangovers. For thine is the beer, The bitter, The lager.",Bar,0.5024788071476854
354,6353.0,Three men walked into a bar. They died,Bar,0.5140045629819855
304,9467.0,"Guest: ""A cup of coffee, please!"" Waiter: ""Turkish or filtered?"" Guest: ""Why, filtered, of course."" Waiter: ""Then you'll have to bring your own filter paper for now.""",Bar,0.75
338,7194.0,"A sandwich walked into a bar and asked for a pint. The bartender said, ""Sorry, we don't serve food.""",Bar,0.650907851816737
310,1233.0,"Bill walked into his favorite dive bar, took his regular stool, looked around, and asked Louie, the bartender, ""Where's Beverly, the waitress?"" ""She's dead,"" replied the bartender. ""Dead?"" asked Bill. ""She died from herpes,"" said the bartender. Bill replied, ""You don't die from herpes."" ""You do if you give it to Big Louie!"" said the bartender.",Bar,0.7811146781957709
316,1505.0,"A guy walks into a bar and orders a drink. After a few more he needs to go to the can. He doesn't want anyone to steal his drink, so he puts a sign on it saying, ""I spat in this beer, do not drink!"" After a few minutes he returns and there is another sign next to his beer saying, ""So did I!""",Bar,0.49698211238413353
333,4386.0,"The secret to enjoying a good wine is: 1 - Open the bottle to allow it to breathe. 2 - When it does not breathe, give it mouth-to-mouth",Bar,0.9505
331,3913.0,"A neutron walks into a bar and asks, ""How much for a drink?"". The bartender replies, ""For you, no charge"".",Bar,0.5911835759170353
311,3653.0,"A woman and her goose walked into a bar. The bartender asked, ""Why'd you bring the pig in the bar?"" The woman answered, ""I do believe this is a goose!"" The bartender says, ""I was talking to the goose!""",Bar,0.6751675493083894
352,9562.0,"Three blind mice walk into a bar, but they are unaware of their surroundings so to derive humour from it would be exploitative.",Bar,0.7603007357345895
330,3324.0,"The skeleton walked into the bar and asked, ""Can I have a beer and a mop?""",Bar,0.656779187428765
305,6643.0,"Shakespeare walks into a bar and the bartender shouts at him, ""You can't come in here, you're Bard!""",Bar,0.6572391371359118
339,8073.0,"The Blonde walked into a bar. The Brunette used the door. The redhead actually OPENED the door, and the Asian actually WENT THROUGH the door.",Bar,0.6537172533804552
340,3774.0,"What's the difference between a ""fox"" and a ""dog?"" About 6 drinks.",Bar,0.7010206731501967
326,7849.0,"A number twelve walks into a bar and asks the barman for a pint of beer. ""Sorry I can't serve you,"" states the barman. ""Why not?!"" asks the number twelve with anger showing in its voice. ""You're under 21,"" replies the barman.",Bar,0.5080908007612918
312,242.0,"A guy goes into a bar, orders twelve shots and starts drinking them as fast as he can. The bartender says, ""Dang, why are you drinking so fast?"" The guy says, ""You would be drinking fast if you had what I have."" The bartender says, ""What do you have?"" The guy says, ""75 cents.""",Bar,0.75
347,9427.0,"An Englishman, a Scotsman and a rabbi walk into a bar. The rabbi stops and says ""I think I'm in the wrong joke.""",Bar,0.5073385494480376
343,8632.0,"Look here, waiter! How long must I wait for that half-duck I ordered? Until somebody orders the other half. We can't go out and kill half a duck.",Bar,0.47284650010177864
345,411.0,"Two cartons of yogurt walk into a bar. The bartender, a tub of cottage chesse, says to them, ""We don't serve your kind in here."" One of the yogurt cartons says back to him, ""Why not? We're cultured individuals.""",Bar,0.6457999999999999
307,9538.0,"A Frenchman, a German and a Jew walk into a bar. ""I'm tired and thirsty,"" says the Frenchman. ""I must have wine."" ""I'm tired and thirsty,"" says the German. ""I must have beer."" ""I'm tired and thirsty,"" says the Jew. ""I must have diabetes.""",Bar,0.4438853215588257
320,1461.0,"A preacher goes into a bar and says ""Anybody who wants to go to heaven, stand up."" Everybody stands up except for a drunk in the corner. The preacher says ""My son, don't you want to go to heaven when you die?"" The drunk says ""When I die? Sure. I thought you were taking a load up now.""",Bar,0.6286613189285155
346,6897.0,"A man walks into a pub and sits down next to a man with a dog at his feet. ""Does your dog bite?"" ""No."" A few minutes later the dog takes a huge chunk out of his leg. ""I thought you said your dog didn't bite!"" the man says indignantly. ""That's not my dog.""",Bar,0.7455680921871215
328,7.0,There's this dyslexic guy... he walked into a bra...,Bar,0.6516408025287092
329,1633.0,"A man walks out of a bar totally hammered, only to be greeted by a snobby woman. She takes one look at him. ""You, sir, are drunk!"" ""And you ma'am, are ugly. But when I wake up, I will be sober!""",Bar,0.5340009524987545
322,2955.0,"There are two fat guys in a bar, one of the guys, puts his empty glass on the bar and says, ""your round"", the other guy says, ""so are you, you fat basted!""",Bar,0.6420463398952037
314,4102.0,"There's this drunk standing out on the street corner, and a cop passes by, and says, ""What do you think you're doing?"" The drunk says, ""I heard the world goes around every 24 hours, and I'm waiting on my house. Won't be long now, there goes my neighbor.""",Bar,0.5071791524343192
313,9170.0,There were three men at a bar. One of them ducked and the other two fell down because they hit the bar.,Bar,0.6512633448233828
337,3.0,"So, this guy walks into a bar. And says, ""ouch"".",Bar,0.6510122910432983
317,317.0,"A hotdog walks into a bar and orders a beer. The bartender replies, ""Sorry, we don't serve food here"".",Bar,0.6506472482491518
