,Joke,Rating,category,Mood
28,"Just before Thanksgiving, the holding pen was abuzz as Mother Turkey scolded the younger birds. ""You turkeys are always into mischief,"" she gobbled. ""If your grandfather could see the things you do, he'd turn over in his gravy.""",0.6506891717086547,Animal,hate
29,Q: Why did the ant fall off the toilet bowl? A: He got pissed off.,0.490987258301326,Animal,surprise
30,"In the morning elephants put springs on their feet and jump around the jungle. Now the most fearsome sound to a monkey is ""Boing Boing""",0.5361781412939541,Animal,neutral
31,Can you decipher this phrase? ED CROWD Over crowded: [CROWD over ED].,0.661559111927636,Animal,neutral
32,One fine day.... you're just walking by.... You look at this bird.... it shits in your eye.... You don't swear.... you don't cry.... You just thank God.... that cows don't fly....,0.7629,Animal,happiness
33,"Bought the wife a hamster fur coat for her birthday, she was delighted with it. We went to the fair; took me 4 hours to get her off the big wheel!",0.9272,Animal,happiness
34,When was the price of milk the highest? When the cow jumped over the moon.,0.6540850749704987,Animal,surprise
35,Q: What is big and grey and comes in quarts? A: An elephant.,0.680234487172775,Animal,enthusiasm
36,What is black and white and red all over? An embarrassed zebra,0.5598527721004094,Animal,hate
37,Boy(howling): A crab just bit my toe! Father: Which one? Boy: How should I know?!?!?! All crabs look alike to me!!,0.7203920335508883,Animal,surprise
38,"A horse walked into a bar. The barman said, ""Why the long face?""",0.651909159286879,Animal,neutral
39,How do you shut up a crying baby? Finish the job.,0.5312865511832526,Animal,relief
40,Can you decipher this phrase? E N U T Tune up!,0.75,Animal,neutral
41,"""Don't be afraid of the dog,"" said the lady to young Johnny, who was delivering her groceries. ""You know the old proverb, 'A barking dog never bites?'"" ""Yes,"" replied young Johnny. ""You know the proverb. I know the proverb. But does your dog know the proverb?""",0.6522470716503449,Animal,fun
42,"Tonto and the Lone Ranger were lost on the prairie one day. The Lone Ranger says to Tonto, ""Use your Indian instincts and get us out of this mess."" Tonto bends down and puts his ear to the ground. He turns and says to the Lone Ranger, ""Buffalo come."" The Lone Ranger says to Tonto, ""How do you know?"" Tonto says, ""Ear sticky.""",0.4471631937356666,Animal,worry
43,What do you do if you discover an endangered animal that eats only endangered plants?,0.665464666346088,Animal,worry
44,Why do gorillas have big nostrils? Because they have big fingers!!!,0.75,Animal,surprise
45,"An ant and an elephant got married. After they had sex, the elephant had a heart attack and died. ""Crap,"" the ant said. ""Five minutes of passion and now the rest of my life digging a grave.""",0.5093900006740354,Animal,surprise
46,Your so stupid you tried to kill a fish by drowning it!,0.4348548280291259,Animal,hate
47,"Walking past a veterinary clinic, a woman noticed a small boy and his dog waiting outside. ""Are you here to see Dr. Meyer?"" she asked. ""Yes,"" the boy said. ""I'm having my dog put in neutral.""",0.6952642779331655,Animal,happiness
48,Why wasn't the giraffe invited to the party? He was a pain in the neck to talk to.,0.6128236080684233,Animal,surprise
49,"Knock knock. Who's there? Cows. Cows who? No, owls hoo, cows moo.",0.5613859074664302,Animal,neutral
50,Q: When is a black dog not a black dog? A: When its a grey hound.,0.6681177036879584,Animal,worry
51,Q. Why should you be careful when it's raining cats and dogs? A. Because you might step in a poodle.,0.7811750143776648,Animal,worry
52,Q: Where do cows go on Saturday nights? A: To the moovies,0.67575044920668,Animal,neutral
53,Q: Why do elephants paint their toes yellow? A: So they can hide upside down in the custard.,0.6896249999999999,Animal,surprise
54,What do you get when you cross an elephant with Darth Vador? An elevator,0.6535051364568062,Animal,surprise
55,"Is your devotion to your cat and ""cat things"" in the training stage, at a moderate level, or extreme? Or are you an all out shameless ""cat-a-holic?"" Let's just see how you rate as a ""cat person,"" shall we? See how many of these can you give an HONEST ""yes"" answer to:",0.5,Animals,enthusiasm
56,Q. What did the father buffalo say to the son buffalo when he left for school? A. Bison!,0.0,Animals,surprise
57,Q. What do you get when you cross a centipede with a turkey? A. Drumsticks for everybody!,0.8,Animals,enthusiasm
58,Q. What do you call a cow murder mystery? A. moo-done-it.,0.0,Animals,fun
59,Q. What do cows do for fun? A. They go to MOO-vies!,0.0,Animals,enthusiasm
60,What did the horse say when he fell? I've fallen and I can't giddy up!,0.0,Animals,surprise
61,"A man dropped by his friend's house to pay him a visit and was amazed to see him playing a game of chess with his dog. After a few minutes he burst out with, ""That's the most incredible dog I've ever seen!""""Oh he isn't so smart,"" was the answer. ""I've beaten him three games out of four.",0.6000000000000001,Animals,love
62,"To tell the weather, go to your back door and look for the dog. The CAT",0.4,Animals,neutral
63,How to tell if your cat has a problem by asking yourself the following questions:,0.8,Animals,relief
64,"Q: What do you call a cat with a machine gun?A: Sir.Q: What does a snail do on a tortoise's back?A: ""Vrooom... vrooom... vrooooooom...""Q: How do you know if there is an elephant under the bed?A: Your nose is touching the ceiling.",0.6000000000000001,Animals,surprise
65,"A dog walks into an employment agency and says ""I'd like to get a job please."". The guy at the employment agency says ""Wow, you could easily get a job at the circus with your talents."" The dog replys ""What would the circus want with a plumber?""",0.6000000000000001,Animals,happiness
66,Q. What are the two main political parties in Canada? A. Moose and Squirrel,0.0,Animals,neutral
67,"A pair of birds were sitting on a branch of a tree when they see a turtle run past them, jump off the branch and flap his arms as hard as he can. He falls to the ground. The poor turtle repeats this process numerous times, and then one bird says to the other ""dear, do you think we should tell him he's adopted?""",0.8,Animals,worry
68,Q: Where can you find a dog with no legs?A:Right where you left it.,0.4,Animals,surprise
69,"A three legged dog is walking down the middle of the road with a shotgun in his hand. When he was asked why he had a shotgun he said ""I'm looking for the man who shot my pa"".",0.2,Animals,worry
70,Q. What do you call a chicken that crosses the road rolls in dirt and comes back? A. dirty double crosser,0.0,Animals,hate
71,DMV jokes get old really fast. Unlike the DMV. You have to go through a special line to become old.,0.892975,At Work,surprise
72,"1) If it rings, put it on hold. 2) If it clanks, call the repairman. 3) If it whistles, ignore it. 4) If it's a friend, take a break. 5) If it's the boss, look busy. 6) If it talks, take notes. 7) If it's handwritten, type it. 8) If it's typed, copy it. 9) If it's copied, file it. 10) If it's Friday, forget it!",0.86435,At Work,hate
73,I almost got fired for telling this joke at work: Do you know why fireman have bigger balls than policeman? They sell more tickets!,0.5829580193918198,At Work,surprise
74,"Police Chief: As a recruit, you'll be faced with some difficult issues. What would you do if you had to arrest your mother? New Recruit: Call for backup!",0.4955589696499519,At Work,enthusiasm
75,"A machine operator comes home from the factory and tells his wife, ""Honey, I've got some good news and some bad news. First, the good news, I got $25,000 severance pay!"" His wife said, ""$25,000 in severance pay? That's great! So what's the bad news?"" He said, ""Wait till you hear what was severed!""",0.89425,At Work,love
76,"What door cannot be pushed, even by 10 people simultaneously? The door that says: PULL",0.6579763999208808,At Work,neutral
77,"A man applied for a job as an industrial spy. Together with several other applicants, he was given a sealed envelope and told to take it to the fourth floor. As soon as the man was alone, he stepped into an empty hallway and opened the envelope. Inside, a message read: ""You're our kind of person. Report to the fifth floor Personnel Office.""",0.5484212914677337,At Work,worry
78,"Waiter, why is my food all mushed up? -Well, you did ask me to step on it. Waiter, these eggs are bad. -Don't blame me. I only laid the table. Waiter, is there soup on my menu? -No, I wiped it off.",0.5444541974443943,At Work,worry
79,"I am not a believer in seances, but I went to one just to see what they are like. The psychic was doing his thing and grinning from ear to ear. I assumed his merriment was due to the fact that he was fooling a gullible public and gave him a poke in the nose. You can probably guess the rest. I was arrested for striking a happy medium.",0.933775,At Work,surprise
80,"Another Month Ends: All Targets Met, All Systems Working, All Customers Satisfied, All Staff Eager and Enthusiastic, All Pigs Fed and Ready to Fly.",0.96875,At Work,enthusiasm
81,DELETE THIS NOW!,0.6923524811863899,At Work,neutral
82,"""How can I ever thank you?"" gushed a woman to Clarence Darrow, after he had solved her legal troubles. ""My dear woman,"" Darrow replied, ""ever since the Phoenicians invented money there has been only one answer to that question.""",0.892975,At Work,love
83,"Two contracters were building a house. While they were sawing a board, the saw slipped and cut of one of the contracter's ears off. They were looking through the sawdust and one contracter came up with the ear. He asked his co-worker, ""Is this it?"" The other one said ""No, mine had a pencil behind it!""",0.567184720589593,At Work,worry
84,"Did you hear about the director of the Department of Motor Vehicles who resigned on Tuesday? He tried to resign on Monday, but discovered he'd been standing in the wrong line.",0.4651401135149412,At Work,worry
85,"""Tomorrow is a boiling hot day, at 10 degrees Fahrenheit. The day after that is the same temperature, as well as the next and the next. Won't these temperatures ever cool down?""",0.881675,At Work,relief
86,Because Lexus created the park it your self car many Mexicans lost their jobs.,0.6309770368446362,At Work,hate
87,"The policeman stopped a woman for exceeding the posted speed limit. He asked the driver her name. ""I'm Mrs. Ladislav Abdulkhashim Zybkcicraznovskaya from the Republic of Uzbekistan visiting my daughter in Columbia,"" she said. The cop put away his summons book and pen, and said, ""Well, OK... but don't let me catch you speeding again.""",0.6355518405815587,At Work,happiness
88,As a shepherd you herd your sheep into your barn. As you walk away you hear two wolves in the barn. What do you do? I would get the flock out of there!,0.6563984113745391,At Work,neutral
89,"A guy eats at a restaurant. At the end of the meal, the guy looks at the check: Salads . . . . . . $3 Steak . . . . . . $10 Works . . . . . . .$5 Cola . . . . . . . $2 ----------------------- Total $20 The customer asked the waiter ""What's 'works'?"" ""This time it didn't work"" said the waiter and crossed out that row.",0.663293561944738,At Work,happiness
90,"You've heard about the new hair salon which opened up right across the street from the old established hair cutters' place, haven't you? They put up a big old sign, ""WE GIVE SEVEN DOLLAR HAIR CUTS!"" Not to be outdone, the old shop put out their own sign: ""WE FIX SEVEN DOLLAR HAIR CUTS""",0.625475,At Work,enthusiasm
91,"""They're multipurpose. Not only do they put the clips on, but they take them off."" - Pratt & Whitney spokesperson explaining why the company charged the Air Force nearly $1000 for an ordinary pair of pliers.",0.5925919677354395,At Work,neutral
92,"An astronaut in space was asked by a reporter, ""How do you feel?"" ""How would you feel,"" the astronout replied, ""if you were stuck here, on top of 20,000 parts each one supplied by the lowest bidder?""",0.598394697329402,At Work,surprise
93,"Dad to his family: The phone bill is exceptionally high. You have to limit its use. I don't use this telephone. I use the one a the office. Mum: Same here, I hardly use this phone as I use my work telephone. Son: Me too, I never use the home telephone. I always use my company mobile. Maid: So what's the problem? We all use our work telephones!",0.5322363554222509,At Work,hate
94,"Salary Increase ""I must have a raise,"" the man said to his boss. ""There are three other companies after me."" ""Really?"" the boss asked. ""What other companies are after you?"" ""The gas company, the telephone company, and the electricity company,"" the man replied.",0.7533429816303774,At Work,worry
95,"Sign in restaurant window: ""Eat now - Pay waiter.""",0.6554757308855653,At Work,neutral
96,"Many employers motivate workers with bonuses. Some offer gym memberships, a few even supply day care for their working mothers and fathers. Our bosses go a step further. A sign posted in our break room read: New Incentive Plan . . . Work or get fired!",0.8719354378898628,At Work,neutral
97,"Real headline: ""Air Traffic Controllers Can Apply for Job in Braille""",0.75,At Work,neutral
98,"The accountant's prayer: ""Lord, help me be more relaxed about insignificant details, starting tomorrow at 10.53:16 am, Eastern Daylight Saving Time.""",0.8867,At Work,neutral
99,"Two detectives were investigating a scene, The victims had their hands and head cut off. ""It's going to be a nightmare identifying the bodies, with no finger prints or faces"" said one. The other replied, ""I thought it would be rather easy, how many people do you know walking around with no head or hands?""",0.5032418509932235,At Work,worry
100,PLEASE DON'T SMOKE IN MY OFFICE! I enjoy sex more than you enjoy smoking but you don't see me screwing in your office.,0.8410688426034758,At Work,hate
101,"A car was involved in an accident in a street. As expected, a large crowd gathered. A newspaper reporter, anxious to get his story, could not get near the car. Being a clever sort, he started shouting loudly, ""Let me through! Let me through! I am the son of the victim."" The crowd made way for him. Lying in front of the car was a donkey.",0.5686,At Work,worry
102,"After interviewing a particularly short-spoken job candidate, the interviewer described the person to his boss as rather monosyllabic. The boss said, ""Really? Where is Monosyllabia?"" Thinking that his boss was just kidding, he played along and said that it was just south of Elbonia. He replied, ""Oh, you mean over by Croatia?""",0.7978410115210339,At Work,surprise
103,"""You were speaking much too long on the phone just now, Miss Ponsonby,"" said Mr.Jones. ""But it was a business call, Mr. Jones."" ""Well, please don't address our clients as 'sweetikins'in the future.""",0.847975,At Work,surprise
104,"Five policemen were on a boat. The boat sank. How many policemen died? 10 - five during the accident, and five during the re-enactment.",0.4612769863612949,At Work,worry
105,"Q. Doctor, how many autopsies have you performed on dead people? A. All my autopsies have been performed on dead people.",0.4376657030195929,At Work,enthusiasm
106,"A Director said to the actress: ""You have to jump from 100 feet into a swimming pool."" Actress: ""But I dont know how to swim."" Director: ""I know, that's why I removed all the water from the swimming pool.""",0.6546651850221679,At Work,surprise
107,"""I finally got my boss to laugh,"" said one friend to another after work. ""Oh, how?"" ""I asked for a raise!""",0.885275,At Work,happiness
108,How does the guy who drives the snowplow get to work in the mornings?,0.6860700431512669,At Work,surprise
109,"William P. Holcomb's job is to supervise the tracking down of Houston, Texas parking ticket violators. It was revealed that he himself had 375 unpaid tickets.",0.5423498507147655,At Work,surprise
110,"A boss of a computer company walked up to one of his workers. ""You're fired!"" exclaimed the boss. ""I didn't do anything!"" replied the confused worker. The boss, happy with his answer, says, ""I know. That's why you're fired!""",0.7788751746692695,At Work,hate
111,"A man was bragging about his sister who disguised herself as a man and joined the Army. ""But wait a minute,"" said the listener, ""She'll have to dress with the boys and shower with them too, won't she?"" ""Sure,"" replied the man. ""Well? Won't they find out?"" ""And who's gonna tell?""",0.6592,At Work,neutral
112,"Patient: ""It must be tough spending all day with your hands in someone's mouth."" Dentist: ""I just think of it as having my hands in their wallet.""",0.6781666334667243,At Work,worry
113,"The song, ""Yankee Doodle"" was originally sung by British soldiers to insult the colonialists (which was typical of the British in those days). The Continental Army took to singing it to annoy the British (which was typical of the colonialists).",0.4666113631514832,At Work,hate
114,Meteorologists - People who tell something wrong and still get paid.,0.630825,At Work,neutral
115,"""So, how did you do?"" the boss asked his new salesman after his first day on the road. ""All I got were two orders."" ""What were they? Anything good?"" ""Nope,"" the salesman replied. ""They were 'Get out!' and 'Stay out!""",0.75,At Work,relief
116,"Doctor: Mrs Smith, you have acute angina. Mrs. Smith: I came here to be examined, not admired.",0.649425,At Work,worry
117,What is the difference between Mechanical Engineers and Civil Engineers? Mechanical Engineers build weapons and Civil Engineers build targets.,0.5591820180091076,At Work,worry
118,"I wouldn't have believed this unless I seen it with my own eyes. I was walking down a street in the city I live in and noticed a store was going out of business. In the window was a huge sign ""GOING OUT OF BUSINESS SALE"", directly below that sign was another sign that said ""NOW HIRING!"" Talk about no job security!",0.8684499999999999,At Work,surprise
119,What do accountants suffer from that ordinary people don't? Depreciation.,0.5832322066754103,At Work,hate
120,"Boss (to the new employee): We are very keen on cleanliness. Did you wipe your feet on the mat as you came in? New employee: Yes, sir. Boss: We are also keen on truthfulness. There is no mat.",0.95775,At Work,relief
121,"A young and foolish pilot wanted to sound cool and show who was boss on the aviation frequencies. So, this was his first time approaching a field during the nighttime. Instead of making any official requests to the tower, he said, ""Guess who?"" The controller switched the field lights off and replied, ""Guess where!""",0.7815,At Work,relief
122,"Harry walks into his supervisor's office. ""Boss,"" he says, ""We're doing some heavy house-cleaning at home tomorrow, and my wife needs me to help with the attic and the garage, moving and hauling stuff."" ""We're short-handed, Harry,"" the boss replies. ""I can't give you the day off."" ""Thanks, boss,"" says Harry, ""I knew I could count on you!""",0.831234810954798,At Work,love
123,A guy goes to work and kills everyone...what is this called...? Going Postal...,0.5151860195782035,At Work,hate
124,"A guy is walking down the street with his friend. He says to his friend, ""I'm a walking economy."" His friend replies, ""How's that?"" ""It's like this -- my hair line is in recession, my stomach is a victim of inflation, and the combination of these factors is putting me into a deep depression.""",0.8510968922690954,At Work,worry
125,"November 15, 1996 - PSA was following United, taxiing out for departure. PSA called the tower and said ""Tower, this is United 586. We've got a little problem, so go ahead and let PSA go first."" The tower promptly cleared PSA for takeoff before United had a chance to object to the impersonation.",0.8746632767964154,At Work,neutral
126,"A drunk phones the police. He yells, ""Come quick! Thieves have stolen my dashboard, steering wheel, brake and gas pedal, and my dang radio!! MY RADIO!!"" The police are just about to send out an officer when the drunk phones back. He says very calmly, ""Sorry officers. It turns out I just got in my backseat.""",0.4296266458887607,Bar,worry
127,"An Irish man walks into a bar. The bartender looks at him and notices he has a steering wheel stuck down the front of his pants. ""Hey,"" he says, ""What's with the steering wheel down your pants?"" ""Ach,"" says the Irish man, ""it's drivin' me nuts!""",0.5875977608110756,Bar,worry
128,"Waiter, this plate is wet. That's your soup, sir.",0.6546752930851654,Bar,enthusiasm
129,"Customer: I see you have gravy on your menu today. Waiter: Yes, sir. What would you like to have? Customer: A clean menu!",0.9504,Bar,enthusiasm
130,I-rish my beer was full...,0.75,Bar,happiness
131,The Englishman and the Scotsman both walk into a bar. The Irishman ducks under it.,0.652629068295937,Bar,neutral
132,"A man walks into a bar and throws down a bet. 100 dollars to anyone who can do 100 pushups. A man disappears outside and returns minutes later. ""I'll take that bet"" the man says, and collapses after 50 pushups. ""I don't get it"", he says,"" I just did 150 outside!""",0.5118142818102613,Bar,worry
133,"An infinite number of mathematicians walk into a bar. The first goes up to the bartender and says, ""I'll have a pint of lager, please."" The next one says, ""and I'll have half of what he's having."" The bartender says, ""You're all idiots,"" and pulls two pints.",0.6702118081827182,Bar,worry
134,"A man stumbles into his house after a night of drinking and is greeted by his very angry wife. ""What's the big idea of coming home half drunk?"" she yells. ""I'm sorry, honey, but I ran out of money,"" he mutters.",0.5938268639963353,Bar,worry
135,"""Three people of different nationalities walk into a bar. Two of them say something smart, and the third one makes a mockery of his fellow countrymen by acting dumb.""",0.680859026248753,Bar,surprise
136,I saw this sign in a bar a few years ago. A camel can go eight days without a drink - but who the hell wants to be a camel.,0.4475184715815936,Bar,surprise
137,"A mushroom walks into a bar and asks for a beer. The bartender, not wanting to serve a mushroom, says ""Uh uh, I'm not serving no mushroom."" ""Aw, come on - I'm a fungi!"" the mushroom replies.",0.7275821927326265,Bar,worry
138,"Waiter, this lobster has only one claw. I'm sorry, sir. It must have been in a fight. Well, bring me the winner then.",0.7704556467421819,Bar,surprise
139,"So, Michael Jackson walks into a bar. Oh, that looked like it hurt! It must have knocked his nose off!",0.5608493603236974,Bar,surprise
140,"A girl walks into a bar and sits down with her friend. She is feeling down, so she talks to her friend. Her friend says ""Go get a beer."" She says she didn't want one. Then the friend says ""Hey, who said it was for you?"" copyright fox corp.",0.8831589619140606,Bar,worry
141,"A man walks into a bar. He falls down, unconscious. Why is this? Because the man walked into a solid bar. A solid, metal bar!",0.7413226565469522,Bar,worry
142,"A grasshopper walks into a bar. The bartender smiles and says ""Hey, ya know we have a drink named after you!"" The grasshopper stops and says ""Really? You have a drink called Steve?""",0.8069534955352545,Bar,fun
143,"An Englishman, an Irishman, and a Scotsman walk into a bar. The bartender turns to them, takes one look, and says ""What is this - some kind of joke?""",0.6515542624983937,Bar,worry
144,"A regular at Bob's Bar came in one evening sporting a matched pair of swollen black eyes that appeared extremely painful. ""Whoa, Sam!"" said the bartender. ""Who gave those beauties to you?"" ""Nobody gave them to me,"" said Sam. ""I had to fight like crazy for both of them.""",0.5624926910895853,Bar,happiness
145,"An Irish man walks out of a bar..............Hey, It could happen",0.6592361594317482,Bar,fun
146,"A huge black man entered in a bar with a huge and colorful parrot on his shoulder. The bartender was amazed, so he asked ""Where did you get that thing?"" Then the parrot said, ""Well they're walking all over Africa...""",0.959,Bar,happiness
147,"Two ducks walk into a bar... One duck looks at the other and says ""Guess you didn't see it either.""",0.6759293012088164,Bar,neutral
148,"Our lager, Which art in barrels, Hallowed be thy drink. Thy will be drunk, I will be drunk, At home as it is in the tavern. Give us this day our foamy head, And forgive us our spillages, As we forgive those who spill against us. And lead us not to incarceration, But deliver us from hangovers. For thine is the beer, The bitter, The lager.",0.5024788071476854,Bar,love
149,Three men walked into a bar. They died,0.5140045629819855,Bar,worry
150,"Guest: ""A cup of coffee, please!"" Waiter: ""Turkish or filtered?"" Guest: ""Why, filtered, of course."" Waiter: ""Then you'll have to bring your own filter paper for now.""",0.75,Bar,enthusiasm
151,"A sandwich walked into a bar and asked for a pint. The bartender said, ""Sorry, we don't serve food.""",0.650907851816737,Bar,neutral
152,"Bill walked into his favorite dive bar, took his regular stool, looked around, and asked Louie, the bartender, ""Where's Beverly, the waitress?"" ""She's dead,"" replied the bartender. ""Dead?"" asked Bill. ""She died from herpes,"" said the bartender. Bill replied, ""You don't die from herpes."" ""You do if you give it to Big Louie!"" said the bartender.",0.7811146781957709,Bar,love
153,"A guy walks into a bar and orders a drink. After a few more he needs to go to the can. He doesn't want anyone to steal his drink, so he puts a sign on it saying, ""I spat in this beer, do not drink!"" After a few minutes he returns and there is another sign next to his beer saying, ""So did I!""",0.4969821123841335,Bar,hate
154,"The secret to enjoying a good wine is: 1 - Open the bottle to allow it to breathe. 2 - When it does not breathe, give it mouth-to-mouth",0.9505,Bar,relief
155,"A neutron walks into a bar and asks, ""How much for a drink?"". The bartender replies, ""For you, no charge"".",0.5911835759170353,Bar,worry
156,"A woman and her goose walked into a bar. The bartender asked, ""Why'd you bring the pig in the bar?"" The woman answered, ""I do believe this is a goose!"" The bartender says, ""I was talking to the goose!""",0.6751675493083894,Bar,surprise
157,"Three blind mice walk into a bar, but they are unaware of their surroundings so to derive humour from it would be exploitative.",0.7603007357345895,Bar,worry
158,"The skeleton walked into the bar and asked, ""Can I have a beer and a mop?""",0.656779187428765,Bar,neutral
159,"Shakespeare walks into a bar and the bartender shouts at him, ""You can't come in here, you're Bard!""",0.6572391371359118,Bar,worry
160,"The Blonde walked into a bar. The Brunette used the door. The redhead actually OPENED the door, and the Asian actually WENT THROUGH the door.",0.6537172533804552,Bar,relief
161,"What's the difference between a ""fox"" and a ""dog?"" About 6 drinks.",0.7010206731501967,Bar,enthusiasm
162,"A number twelve walks into a bar and asks the barman for a pint of beer. ""Sorry I can't serve you,"" states the barman. ""Why not?!"" asks the number twelve with anger showing in its voice. ""You're under 21,"" replies the barman.",0.5080908007612918,Bar,worry
163,"A guy goes into a bar, orders twelve shots and starts drinking them as fast as he can. The bartender says, ""Dang, why are you drinking so fast?"" The guy says, ""You would be drinking fast if you had what I have."" The bartender says, ""What do you have?"" The guy says, ""75 cents.""",0.75,Bar,worry
164,"An Englishman, a Scotsman and a rabbi walk into a bar. The rabbi stops and says ""I think I'm in the wrong joke.""",0.5073385494480376,Bar,worry
165,"Look here, waiter! How long must I wait for that half-duck I ordered? Until somebody orders the other half. We can't go out and kill half a duck.",0.4728465001017786,Bar,surprise
166,"Two cartons of yogurt walk into a bar. The bartender, a tub of cottage chesse, says to them, ""We don't serve your kind in here."" One of the yogurt cartons says back to him, ""Why not? We're cultured individuals.""",0.6457999999999999,Bar,worry
167,"A Frenchman, a German and a Jew walk into a bar. ""I'm tired and thirsty,"" says the Frenchman. ""I must have wine."" ""I'm tired and thirsty,"" says the German. ""I must have beer."" ""I'm tired and thirsty,"" says the Jew. ""I must have diabetes.""",0.4438853215588257,Bar,worry
168,"A preacher goes into a bar and says ""Anybody who wants to go to heaven, stand up."" Everybody stands up except for a drunk in the corner. The preacher says ""My son, don't you want to go to heaven when you die?"" The drunk says ""When I die? Sure. I thought you were taking a load up now.""",0.6286613189285155,Bar,worry
169,"A man walks into a pub and sits down next to a man with a dog at his feet. ""Does your dog bite?"" ""No."" A few minutes later the dog takes a huge chunk out of his leg. ""I thought you said your dog didn't bite!"" the man says indignantly. ""That's not my dog.""",0.7455680921871215,Bar,worry
170,There's this dyslexic guy... he walked into a bra...,0.6516408025287092,Bar,hate
171,"A man walks out of a bar totally hammered, only to be greeted by a snobby woman. She takes one look at him. ""You, sir, are drunk!"" ""And you ma'am, are ugly. But when I wake up, I will be sober!""",0.5340009524987545,Bar,hate
172,"There are two fat guys in a bar, one of the guys, puts his empty glass on the bar and says, ""your round"", the other guy says, ""so are you, you fat basted!""",0.6420463398952037,Bar,worry
173,"There's this drunk standing out on the street corner, and a cop passes by, and says, ""What do you think you're doing?"" The drunk says, ""I heard the world goes around every 24 hours, and I'm waiting on my house. Won't be long now, there goes my neighbor.""",0.5071791524343192,Bar,worry
174,There were three men at a bar. One of them ducked and the other two fell down because they hit the bar.,0.6512633448233828,Bar,surprise
175,"So, this guy walks into a bar. And says, ""ouch"".",0.6510122910432983,Bar,surprise
176,"A hotdog walks into a bar and orders a beer. The bartender replies, ""Sorry, we don't serve food here"".",0.6506472482491518,Bar,worry
177,"A red-faced judge convened court after a long lunch. The first case involved a man charged with drunk driving who claimed it simply wasn't true. ""I'm as sober as you are, your honor,"" the man claimed. The judge replied, ""Clerk, please enter a guilty plea. The defendant is sentenced to 30 days.""",0.8,Bar Jokes,worry
178,"""Get this."" said the English bloke to his mates, ""Last night while I was down the pub with you guys, a burglar broke into my house.""Did he get anything?"" his mates asked.""yeah, a broken jaw, six teeth knocked out, and a pair of broken nuts. The wife thought it was me coming home drunk.""",0.776,Bar Jokes,worry
