,Joke,category
866,Your so stupid you tried to kill a fish by drowning it!,Animal
8076,Q: Where does a blackbird go for a drink? A: To a crow bar.,Animal
5572,What do snakes use for birth control? An Anacondom!,Animal
2015,"A man walks into a pet store and asks for a German shepperd. The shopkeeper, replies that it will cost him $500. The man thinks for a minute, then asks how much a beware of dog sign costs. The shopkeeper calmly replies that it costs a whopping $1.98. The man thinks for a while longer, and asks for a beware of dog sign.",Animal
4016,"A gazelle goes out for her usual afternoon walk. About an hour later, she realizes that she is lost out in the open. Unskilled in the ways of the real world, she asks a cheetah, ""Excuse me sir, do you know what time it is?"" With a grin, the cheetah said, ""It's lunchtime.""",Animal
2965,Q. Why should you be careful when it's raining cats and dogs? A. Because you might step in a poodle.,Animal
9496,"Q: What is brown, has four legs, and a trunk? A: A mouse coming back from vacation.",Animal
3955,"One dog said to her pups, ""Don't ever bite the hand that feeds you. Any other hand is ok, though.""",Animal
7710,"A guy was walking around town with a frog growing out of his head. Another man walks up to him and ask him, ""What happened to you?"" The frog answered, ""Well, it started as a wart on my ass.""",Animal
8973,"Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, Pluto. Pluto because it's no longer a planet.",Animal
9756,"It's so easy, it makes pie look hard.",Animal
9350,What does PPSH-41 stand for? It is:Perfectly and Painfully and Stubborn Hallucination for(4) one(1),Animal
7252,What do you do if you discover an endangered animal that eats only endangered plants?,Animal
6428,"A duck, a skunk, and a frog go to the movies. Tickets cost one dollar. Which animal doesn't get in? The skunk! The frog has a green back, the duck has a bill, but the skunk only has a scent.",Animal
5582,"A mother was reading a book about animals to her 3 year old daughter. Mother: ""What does the cow say?"" Child: ""Moo!"" Mother: ""Great! What does the cat say?"" Child: ""Meow."" Mother: ""Oh, you're so smart! What does the frog say?"" And this wide-eyed little 3 year-old looked up at her mother and in her deepest voice replied, ""Bud.""",Animal
8651,"yo mama so hairy and fat, that when she went to a museum they yelled ""the mammoth's alive!""",Animal
9607,What is the difference between a chicken? Neither can ride a bicycle.,Animal
5224,"Which animals eat with their ears? All of them, since no animal takes its ears off to eat!",Animal
9491,Q: How do you get two whales in a Mini? A: Along the M4 and across the Severn Bridge.,Animal
9869,A spanish speaking person was eating breakfast they where having english muffins the rest of the family was English(The Spanish speaking guy was adopted)so he was eating an English muffin after that he tried to say Uno but instead was completely English Wierd,Animal
8274,Newton's Little-Known Seventh Law - A bird in the hand is safer than one overhead.,Animal
7914,Why can't a dalmatian puppy hide from his mom? 'Cause he's already been spotted!,Animal
4487,"So two farmers are standing next to a cow and one farmer says: 1st guy: ""Hey Larry, you know how your birthday's tomorrow?"" 2nd guy: ""Uh huh."" 1st guy: ""I made a cake."" 2nd guy: ""Uh huh."" ......*long pause*...... Cow: ""Hey Larry, you know how your birthday's tomorrow?"" 2nd guy:""Uh huh."" Cow: ""I made a pie."" 2nd guy:""Uh huh.""",Animal
4925,"Why did the chicken cross the road? I don't know, ask the chicken!",Animal
9481,Q: How can you tell that an elephant is in the bathtub with you? A: By the smell of peanuts on its breath.,Animal
8066,Why is it dangerous to go in the jungle after 5 p.m? Because elephants jump out of trees after 5 p.m. Why do beavers have flat tails? Because they go in the jungle after 5 p.m!,Animal
9497,"Q: What has eight legs, two trunks, four eyes, and two tails? A: Two elephants.",Animal
4472,Where do cats go to find their tail? The retail store.,Animal
4027,What is a cat's favorite part of the computer? The mouse!,Animal
5679,Why wasn't the giraffe invited to the party? He was a pain in the neck to talk to.,Animal
1264,"Police officer: ""Excuse me, but your dog has been chasing a man on his bicycle"". Dog owner: ""Are you crazy? My dog can't even ride a bicycle"".",Animal
9171,"There was a coconut tree and 4 animals. 1. A Elephant 2. A Monkey 3. A Tiger 4. A Mouse Which one of these animals is going to climb up the tree to get the banana? NONE! ""There was a COCONUT TREE"" ""...the tree to get the BANANA""",Animal
1609,Joe: Hi Jack. How did you like horseback riding? Jack: Not that much. The problem was that the horse was too polite. Joe: Polite? Jack: Yep. When we reached the fence he let me go over first.,Animal
7490,I loathe people who keep dogs. They are cowards who haven't got the guts to bite people themselves.,Animal
3092,What does a cow do for entertainment? Listen to moo-sic.,Animal
4002,What do you call a dinosaur that is able to give you a synonym for any word you give him? Answer: A Thesaurus! :),Animal
4461,"What do you call a dog without legs? It doesn't matter - he won't come, anyway.",Animal
5317,Why did the rooster cross the road? To fuck the chicken.,Animal
734,Did you hear about the scientists who crossed a porcupine with a sheep? They got an animal that knits its own sweaters.,Animal
7726,"A young boy asks his dad, ""What is the difference between confident and confidential?"" Dad says, ""You are my son, I'm confident about that. Your friend over there is also my son; that's confidential!""",Animal
2820,"One day Jim, a duck, was swimming in a pond when he came up to another duck and asked ""What are doing?"" ""Blowing bubbles,"" she replied. Jim met 3 more ducks and they all said the same thing. When Jim came up to a 5th duck he said ""Let me guess, you're blowing bubbles?"" ""No,"" said the duck, ""I am Bubbles!""",Animal
6187,"There is a major difference between the way a dog thinks and the way a cat thinks. A dog says, ""You feed me, shelter me, pamper me, and love me. You must be God."" A cat says, ""You feed me, shelter me, pamper me, and love me. I must be God.""",Animal
5927,What do you call a lonely fisherman? A Master-Baiter,Animal
3348,What do you call a woodpecker without a beak? A headbanger.,Animal
8956,Can you decipher this phrase? RU[color=red]E[/color] Are you ready: [R U + red E].,Animal
8074,Q: Why did the chicken cross the road? A: SSCCRRRRRRREEEEEEEEEEEEEEEECCCCCCCCCCCHHHHHHHHHH...thump. We shall never know...,Animal
1470,Where does Superman's goldfish live ? In the superbowl....,Animal
1874,Why do gorillas have big nostrils? Because they have big fingers!!!,Animal
8591,Is there ever a day that mattresses are not on sale?,Animal
5887,Why didn't the chicken cross the road? To prove he was chicken!,Animal
9504,Q: What is big and grey and comes in quarts? A: An elephant.,Animal
0,What do you call a cow with no legs? Ground Beef!,Animal
8447,"Once a bird pooped on me, so I threw it back.",Animal
5421,Not Funny,Animal
5557,Why do pigs STINK? Because they have four armpits..,Animal
598,Why do ducks have webbed feet? To stamp out fires. Why do elephants have flat feet? To stamp out burning ducks.,Animal
4973,"An ant and an elephant got married. After they had sex, the elephant had a heart attack and died. ""Crap,"" the ant said. ""Five minutes of passion and now the rest of my life digging a grave.""",Animal
9208,What do you call a chicken? A chicken.,Animal
9034,Can you decipher this phrase? box box box box box box box box box box box box Shit box box box box box box box box box box box box Shit in the box!,Animal
5282,"Ever walk into a room and forget what you came in for? Well, that's probably how dogs spend most of their lives...",Animal
1728,"""Don't be afraid of the dog,"" said the lady to young Johnny, who was delivering her groceries. ""You know the old proverb, 'A barking dog never bites?'"" ""Yes,"" replied young Johnny. ""You know the proverb. I know the proverb. But does your dog know the proverb?""",Animal
2822,"If there are 12 cats on a fence and 1 cat jumps off, how many are left? None, they're all copycats!",Animal
8886,10=D in a M 10 decimeters in a meter.,Animal
9490,Q: How many giraffes will fit into a Mini? A: None. It's full of elephants.,Animal
6072,"Two friends were out shooting birds. A bird flew from behind a tree and quick as a flash one man shot it. It uttered a squawk, folded its wings and fell to the ground. The other man turned to him and said: "" You didn't need to shoot that bird. The fall would have killed it.""",Animal
3143,Q: Why are frogs so happy? A: They eat whatever bugs them!,Animal
9033,Can you decipher this phrase? EHCA Backache!,Animal
3594,What kind of monkey eats chips? A chipmunk!,Animal
3026,Why did the elephant call the locksmith? Because he lost his keys in his trunk!,Animal
9955,"Mik: ""Do skunks have a good sense of smell?"" Mak: ""No! If they did, they'd jump off a cliff!""",Animal
5568,Q: What do you call a dog with no hind legs and metal balls? A: Sparky!,Animal
7559,"If you're being chased by a police dog, try not to go through a tunnel, then on to a little seesaw, then jump through a hoop of fire. They're trained for that.",Animal
6638,What's black and white and makes a lot of noise? A zebra with a drum.,Animal
3645,What do you give a sick pig? Oinkment.,Animal
4152,Why do Chickens have no breast? Cause the Rooster has no hands!,Animal
6264,How do you make a reindeer fast? Don't feed it.,Animal
1698,I found a way to make a horse stand perfectly still. Place a bet on him.,Animal
8959,Can you decipher this phrase? T T T U I U L P L I T I P O P S E S Tiptoe through the tulips!,Animal
4271,"""Do you know that your dog bit my mother-in-law yesterday?"" ""Is that so? Well, I suppose you'll sue me for damages?"" ""Not at all. What'll you take for the dog?""",Animal
6826,How do you catch a unique rabbit? You nique up on it! How do you catch a tame rabbit? The tame way!,Animal
4516,Q: Why did the turkey cross the road? A: Because the chicken had the day off!,Animal
371,Q: What does a fish use to get high? A: Seaweed!,Animal
6964,"There were two fish. The first says: ""We're gonna swim 100 miles upstream, have sex, then die."" The second says: ""So we're gonna swim 100 miles upstream, then die?"" First fish: ""Yup"" Second: ""Are we gonna have sex?"" First : ""Yup"" Second: ""Ok count me in!""",Animal
8862,"Jenny: How did the turtle cross the freeway? Forrest: I don't know. Jenny: Take the 'r' out of 'free'. Now, take the 'f' out of 'way'. Forrest: There's no 'f' in way!",Animal
7501,How do you confuse a frog? Put it in a round bowl and tell it to take a nap in the corner. How does a frog confuse you? When he comes out and says he needed that nap and feels much better!,Animal
5318,Why did the elephant cross the road? Because the chiken retired.,Animal
6056,Q: What do you get when you cross a pig and a centipede? A: Bacon and legs,Animal
4389,Q: Why did the Iraqi chicken cross the road? A: To take over the other side.,Animal
9486,Q: How do you shoot a yellow elephant? A: Have you ever seen a yellow elephant?,Animal
7692,"Why does a dog have fur? 'Cause if he didn't he'd be a little ""bare""!",Animal
905,"Two cows were talking in the field. One cow says, ""Have you heard about the Mad Cow disease that's going around?"" The other cow answers, ""Yeah, makes you glad we're penguins, doesn't it?""",Animal
6276,Yo mama is so skinny Yo mama so skinny she hula hoops with a cheerio Yo mama so skinny she has to wear a belt with spandex. Yo mama so skinny she turned sideways and disappeared.,Animal
5469,Why did the french dog look in the toilet? Wee wee,Animal
42,"A termite walks into a bar and asks, ""Is the bartender here?""",Animal
9954,Why did the chicken cross the road? To get away from the butcher,Animal
6090,"""Look at the speed of that plane!"" said one hawk to another, as a jet fighter plane hurtled over their heads. ""Hmph!"" snorted the other, ""You too would fly fast if your tail was on fire!""",Animal
9733,One fine day.... you're just walking by.... You look at this bird.... it shits in your eye.... You don't swear.... you don't cry.... You just thank God.... that cows don't fly....,Animal
6827,What do you call a lesbian dinosaur? A licalottapus!,Animal
4051,"Why did the chicken go across the field? Because the referee shouted ""FOWL""!",Animal
7885,What do you get when you cross an eagle with a jeep and a dog? A flying car-pet!,Animal
1458,"Two drunks get thrown out of the bar and are walking down the street when they come across this dog, sitting on the curb, licking his balls. They stand there watching and after a while one of them says, ""I sure wish I could do that!"" The other one looks at him and says, ""Well, I think I'd pet him first.""",Animal
9485,Q: How do you shoot a blue elephant? A: With a blue elephant gun.,Animal
9207,What do you call a chicken in a shell suit? An egg!,Animal
1339,Q: What is the definition of a sick bird? A: Illegal,Animal
9874,My dog Minton has eaten my shuttle cock. Bad Minton!,Animal
906,What is the difference between a BMW & a porcupine? A porcupine has pricks on the outside.,Animal
9588,Russian company: You have two cows. You drink some vodka and count them again. You have five cows. The Russian Mafia shows up and takes however many cows you have.,Animal
5813,Boy(howling): A crab just bit my toe! Father: Which one? Boy: How should I know?!?!?! All crabs look alike to me!!,Animal
8890,"Can You Decipher This Phrase? QQQQQQ No excuse. There is no X listed, but there are some Qs.",Animal
9969,"I got a new dog last week. She's a black lab and border collie mix, and still a puppy. I take her with me everywhere I go. But when I took her to the vet to get her shots, they told me I had to put her down. I've only had this dog for a week. Seven days. I wanted to keep holding her.",Animal
3036,What did the cat say to the other cat on the phone? Can you hear me-ow?,Animal
1,What do you call a cow jumping over a barbed wire fence? Utter destruction.,Animal
3099,What do you get when you cross an elephant with Darth Vador? An elevator,Animal
8848,What is represented by this? HEAR T Broken heart!,Animal
4406,"A male blue whale, can ejaculate 40 gallons of sperm during sex. Only 10% of that will get to the female. The other 36 gallons is left in the sea. No wonder the sea's so salty.",Animal
7913,"Two maggots were playing billiards. One says, ""I'm bored."" The other replies, ""Beats fishing.""",Animal
8883,Can you decipher this phrase? lookkool Look both ways!,Animal
9605,Why did the duck cross the road? Because the chicken was on holiday.,Animal
3882,"Two weasels are sitting on a bar stool. One starts to insult the other one. He screams, ""I slept with your mother!"" The bar gets quiet as everyone listens to see what the other weasel will do. The first again yells, ""I SLEPT WITH YOUR MOTHER!"" The other says, ""Go home dad you're drunk.""",Animal
8893,Can you decipher this phrase? ED CROWD Over crowded: [CROWD over ED].,Animal
7973,Did you hear about the woman who had sex with a donkey? Apparently she liked an ass.,Animal
4669,Q: What's the difference between a rabbit and a cow? A: One's a rabbit and one is a cow,Animal
3539,"Q: What do you call it, when a bison gets a loan? A: A Buffa-loan!",Animal
9287,How do you know if you have the swine flu? You wake up in pigtails and then break out in rashers!,Animal
2802,"This is the epitaph on the gravestone of an army mule: Here lies Maggie, who in her time kicked two colonels, four majors, ten captains, twenty-four lieutenants, forty-two sergeants, four hundred eighty-six privates, and one bomb.",Animal
1436,Q. What happens when you cross a Bulldog with a Shih tzu? A. You get Bullshit.,Animal
8549,"DON'T CHEAT! Draw a pig. Yes, that's right. On a blank piece of paper, draw a pig, then scroll down and read the interpretation of your pig! Draw your pig first! And don't look at the next part until you are done! It won't be fun if you look first. Now if you're done...start to scroll down..... YOU'RE CHEATING! DRAW THE DAMN PIG!",Animal
9056,Remove seven letters from this grid to leave two numbers. S F E V E I N L V E T E T F E R O S U R Simply remove 'SEVEN LETTERS' and you are left with FIVE and FOUR: - F - - - I - - V - - E - F - - O - U R,Animal
7850,Why did the cow cross the street? To get to the udder side!,Animal
4892,"A farmer is going down the road with his horse pulling his wagon and his dog lying next to 'em. The farmer says, ""It sure is hot out here."" The horse turns back and says, ""It sure is."" The farmer says, ""I didn't know horses could talk."" The dog said, ""Neither did I.""",Animal
5865,"Waiter, why is my food all mushed up? -Well, you did ask me to step on it. Waiter, these eggs are bad. -Don't blame me. I only laid the table. Waiter, is there soup on my menu? -No, I wiped it off.",At Work
5558,"What door cannot be pushed, even by 10 people simultaneously? The door that says: PULL",At Work
4739,I almost got fired for telling this joke at work: Do you know why fireman have bigger balls than policeman? They sell more tickets!,At Work
6753,"1) If it rings, put it on hold. 2) If it clanks, call the repairman. 3) If it whistles, ignore it. 4) If it's a friend, take a break. 5) If it's the boss, look busy. 6) If it talks, take notes. 7) If it's handwritten, type it. 8) If it's typed, copy it. 9) If it's copied, file it. 10) If it's Friday, forget it!",At Work
9039,Meteorologists - People who tell something wrong and still get paid.,At Work
5579,"A guy is walking down the street with his friend. He says to his friend, ""I'm a walking economy."" His friend replies, ""How's that?"" ""It's like this -- my hair line is in recession, my stomach is a victim of inflation, and the combination of these factors is putting me into a deep depression.""",At Work
7146,"After interviewing a particularly short-spoken job candidate, the interviewer described the person to his boss as rather monosyllabic. The boss said, ""Really? Where is Monosyllabia?"" Thinking that his boss was just kidding, he played along and said that it was just south of Elbonia. He replied, ""Oh, you mean over by Croatia?""",At Work
6225,"Three men were at a business convention where they were discussing cars. One man said, ""I am an astronaut, so I drive a Saturn."" Another man says, ""I am a pimp, so I drive a cheap Escort."" The last man speaks up saying, ""Well, I beat both of you - I am a proctologist, so I drive a brown Probe!""",At Work
4781,"Patient: ""It must be tough spending all day with your hands in someone's mouth."" Dentist: ""I just think of it as having my hands in their wallet.""",At Work
8472,"You've heard about the new hair salon which opened up right across the street from the old established hair cutters' place, haven't you? They put up a big old sign, ""WE GIVE SEVEN DOLLAR HAIR CUTS!"" Not to be outdone, the old shop put out their own sign: ""WE FIX SEVEN DOLLAR HAIR CUTS""",At Work
7142,Seen on rear mud-flaps of a large truck left mud-flap		right mud-flap Passing Side		Suicide 		 / ------ 		------ \ \ ------ 		------ / 		 El Paso			El Cruncho,At Work
7947,"Five policemen were on a boat. The boat sank. How many policemen died? 10 - five during the accident, and five during the re-enactment.",At Work
9855,"A Martian lands to plunder, pillage and burn. He goes up to the owner of the first house he sees and says, ""I'm a Martian just arrived from the other side of the galaxy. We're here to destroy your civilisation, pillage and burn. What do you think about that?"" The owner replies, ""I don't have an opinion. I'm a chartered accountant.""",At Work
7709,Joe: What are you doing? John: Taxes. Joe: Why? John: Because I have to...... Joe: That's stupid. I did mine over a year ago.,At Work
7144,"A car was involved in an accident in a street. As expected, a large crowd gathered. A newspaper reporter, anxious to get his story, could not get near the car. Being a clever sort, he started shouting loudly, ""Let me through! Let me through! I am the son of the victim."" The crowd made way for him. Lying in front of the car was a donkey.",At Work
8239,As a shepherd you herd your sheep into your barn. As you walk away you hear two wolves in the barn. What do you do? I would get the flock out of there!,At Work
6915,"""You were speaking much too long on the phone just now, Miss Ponsonby,"" said Mr.Jones. ""But it was a business call, Mr. Jones."" ""Well, please don't address our clients as 'sweetikins'in the future.""",At Work
8827,"A machine operator comes home from the factory and tells his wife, ""Honey, I've got some good news and some bad news. First, the good news, I got $25,000 severance pay!"" His wife said, ""$25,000 in severance pay? That's great! So what's the bad news?"" He said, ""Wait till you hear what was severed!""",At Work
6049,DELETE THIS NOW!,At Work
8134,"Salary Increase ""I must have a raise,"" the man said to his boss. ""There are three other companies after me."" ""Really?"" the boss asked. ""What other companies are after you?"" ""The gas company, the telephone company, and the electricity company,"" the man replied.",At Work
7953,"A young man was in the process of taking a verbal exam to join the local police force. ""If you're driving a police car, alone on a country road at night, and are being chased by a group of criminals driving sixty miles an hour, what would you do?"" he was asked. Without hesitation, the young man replied, ""Seventy!""",At Work
7841,"Buy company, fire them. Beware of machine guns.",At Work
5100,"""So, how did you do?"" the boss asked his new salesman after his first day on the road. ""All I got were two orders."" ""What were they? Anything good?"" ""Nope,"" the salesman replied. ""They were 'Get out!' and 'Stay out!""",At Work
5726,"A Director said to the actress: ""You have to jump from 100 feet into a swimming pool."" Actress: ""But I dont know how to swim."" Director: ""I know, that's why I removed all the water from the swimming pool.""",At Work
1551,"Barry calls his boss. ""I'm having problems with my eyes."" ""What's wrong with them?"" his boss asks. ""I just can't see myself coming into work today.""",At Work
8249,"""They're multipurpose. Not only do they put the clips on, but they take them off."" - Pratt & Whitney spokesperson explaining why the company charged the Air Force nearly $1000 for an ordinary pair of pliers.",At Work
4474,"Many employers motivate workers with bonuses. Some offer gym memberships, a few even supply day care for their working mothers and fathers. Our bosses go a step further. A sign posted in our break room read: New Incentive Plan . . . Work or get fired!",At Work
